calBP,PrDens,MKDE,PerCap,spdPerCap
3470,13.7472892421228,0.00195867194736568,0.00567124799430108,-0.018567932455646
3440,13.4943857178526,0.0019698116197839,-0.00734166197628561,-0.0492250479423624
3410,12.8462080993797,0.00195540288546216,-0.00636552026659398,-0.0318768095168909
3380,12.4431698847036,0.00194299526115363,0.0037321104951662,0.0111100891798155
3350,12.582185419361,0.00195026028265864,0.00587596763818787,0.0220833372671447
3320,12.863132773662,0.00196175368332145,0.0231090140124666,0.022370748500085
3290,13.1541334980229,0.00200761574929574,0.0374294750147035,0.0238989913425649
3260,13.4722906955403,0.00208418376423672,0.0424417779990529,0.0380888052110304
3230,13.9953319270968,0.00217454419403804,0.0636071233793718,0.0749079130439743
3200,15.0839573709102,0.00231735442279291,0.0616928612528378,0.108759858418827
3170,16.8170224029033,0.00246482068703246,0.0532354545906806,0.0886205990775331
3140,18.3753889234214,0.00259959201613107,0.0484056053499353,0.0621621752842918
3110,19.5538927852466,0.00272852213790501,0.0342512478921062,0.0210348345882525
3080,19.9695621270082,0.0028235963365081,0.00958728043227097,-0.00713060745738403
3050,19.8276734956512,0.00285079712887736,0.0074470310988648,-0.0193738922258855
3020,19.44723150706,0.00287210635048978,-0.00535765881599737,-0.0309070814257515
2990,18.8553678425512,0.00285675973226247,-0.00851130642630427,-0.0229560781765348
2960,18.427452959832,0.00283254815702463,-0.00516518576002056,-0.00962985633279123
2930,18.2508509261069,0.0028179552396278,-0.0016950903088464,0.0113250195131145
2900,18.4587169909272,0.00281318259718311,0.00209846509339062,0.0148943657686011
2870,18.7357055371445,0.00281909216100268,0.018207354572545,0.0017325174155074
2840,18.7681936082275,0.00287089049592131,0.0202743770351352,-0.000189218800292768
2810,18.764642649114,0.00292969006041409,0.0430134963755879,0.00445413916130555
2780,18.8484093946664,0.00305845575202243,0.0525160641387279,0.0911901947086955
2750,20.6480053763312,0.00322336613324509,0.0511364030810144,0.109713301041869
2720,23.0423084474039,0.003392484689253,0.0513032667237798,0.0845540186581211
2690,25.0753688220738,0.00357107212675755,0.0466105600134332,0.0408793051778416
2660,26.1216728636783,0.00374146193342195,0.0205520548523142,-0.00774231781219381
2630,25.9202114660225,0.00381915227781879,0.0136245611435291,0.011396168448071
2600,26.2172921375724,0.00387154263895682,0.000722256745324224,0.0155634641108788
2570,26.6285157542763,0.00387433989679018,-0.0142864315066484,0.00225907711365769
2540,26.6887396243584,0.00381938290957143,-0.017796482403031,-0.0177635296540704
2510,26.2188393068048,0.00375201258432345,-0.0345532955861483,-0.0486408633085311
2480,24.9740515183985,0.00362458242867898,-0.0380408731447446,-0.0566071575986622
2450,23.5996100590512,0.00348928978825488,-0.0374422041724456,-0.0586800630112903
2420,22.2546310929253,0.00336105869541272,-0.0376311446684001,-0.0401935791313699
2390,21.3778758151116,0.00323692843930967,-0.0300053296806579,-0.0721335421501212
2360,19.8901175863447,0.00314124600446158,-0.00762535584749546,-0.0138886875738131
2330,19.6157794654782,0.0031173839797114,-0.00527056984775864,0.0323333052119117
2300,20.2603874457798,0.0031009968124935,0.0113185272823078,0.0601417737739238
2270,21.5162700636793,0.00313629491394718,0.0161862496351723,0.0193409542101506
2240,21.9364656510079,0.00318747283832671,0.0225704255748056,-0.0298262984067441
2210,21.2918432187586,0.00326023348739355,0.0305930434523214,-0.00498334350138929
2180,21.1860025893627,0.00336151531247125,0.0343998197426174,0.0474445341224867
2150,22.2153889020681,0.0034791627574766,0.0579732105669306,0.0791286200732064
2120,24.0446823162122,0.00368682217741581,0.0585324329939807,0.0686955698943321
2090,25.7545016318505,0.00390906150726509,0.0728222083323642,0.0659705286397547
2060,27.5108359367338,0.00420434926932157,0.0784401202540686,0.0504822341009832
2030,28.9352968804019,0.00454741823052743,0.0767724755019845,0.103576417479556
2000,32.0930216591023,0.00491028569053156,0.0818789756269789,0.0866079309566561
1970,34.9964470563778,0.00532925312216251,0.0764381992772858,0.101602583854699
1940,38.7390884406107,0.00575258489334596,0.073441950917073,0.0627519673916854
1910,41.2479368143549,0.0061909667348698,0.0691988093358429,0.061392430460435
1880,43.8595957169979,0.00663454480771234,0.0640212456763631,0.0651331574062333
1850,46.8113962443571,0.00707318806181283,0.0591863125957062,0.085076580623737
1820,50.9682690395965,0.00750446081440286,0.0534631771770595,0.066958217584224
1790,54.4978625145055,0.00791659188897154,0.036105311765815,0.0621355403709187
1760,57.9915332448627,0.00820764558212227,0.0322468490218624,0.0251898050889521
1730,59.470882703354,0.00847662993045036,0.0144495368544701,-0.00448485860726411
1700,59.2047614074351,0.00860000249870475,0.00183445177935848,0.00452291786148518
1670,59.4731461638701,0.00861579326786497,-0.00184039559616078,-0.0219520026399866
1640,58.1818169891785,0.0085999513820173,-0.0136437678769195,-0.0132121954910618
1610,57.4181633285354,0.00848341246440626,-0.0147093688266615,-0.0237506715429596
1580,56.0705105694227,0.00835954009719471,-0.0145639873021812,-0.0305744368681085
1550,54.3821284721565,0.00823867414287523,-0.014635711292839,-0.0147852572846912
1520,53.5839895949625,0.00811897337630624,-0.014335436237773,-0.00883033384601673
1490,53.1129080427615,0.00800341462270849,-0.0136605447856999,-0.00289754619412541
1460,52.9592336849964,0.00789482699054984,-0.0142888911378556,-0.000109450301546854
1430,52.9534375980974,0.00778282079500526,-0.0178689013240847,-0.0111645426957478
1400,52.3655246793745,0.00764498548846311,-0.0188652309954156,-0.0367917330390273
1370,50.4739174033508,0.00750211297009685,-0.00870068677060054,-0.0512565548406942
1340,47.9519832349559,0.00743712257555052,3.3688824303546E-05,-0.0357091784358783
1310,46.2698695001875,0.00743737312768663,0.00613190570104383,0.028635804108061
1280,47.6139976661874,0.00748311850821249,0.0275093039173067,0.0624331079909921
1250,50.6814463854256,0.00769183150209177,0.0289722465798032,0.0431127303908463
1220,52.9142471551403,0.00791794077182511,0.0369386959716804,0.0446240694851507
1190,55.3289729509458,0.00821588819585144,0.0392852804572215,0.0305713722797512
1160,57.0465765586753,0.0085450754383569,0.0390860620179625,0.0454710926452595
1130,59.7004262009257,0.00888568190817778,0.0399551872737813,0.0345279224288886
1100,61.7977577749032,0.0092478990332244,0.0402046777570355,0.0381462578200127
1070,64.20065028317,0.00962728324151953,0.0527071965720225,0.0304278341186448
1040,66.1841609528482,0.0101483209535858,0.0530807329521679,0.0314369483224022
1010,68.2978387169132,0.0107015543948514,0.0720326405630489,0.0442361387087153
980,71.3868915544189,0.0115008580085711,0.086105627567199,0.0832944047864128
950,77.5876810787572,0.0125350318136694,0.0791241248391605,0.155492740915069
920,90.6405247887601,0.0135671495217842,0.0727507684324102,0.125769850058147
890,102.78827155448,0.0145909600584165,0.0671673854865231,0.0807610062985571
860,111.433974981236,0.0156046593876019,0.0440989852646343,0.0211134649677653
830,113.811745465898,0.0163082079064717,0.0332986716736059,0.00715501738742574
800,114.628990699006,0.0168603920453642,0.0217191212918033,0.0167878262018757
770,116.569606052261,0.0172305905863341,-0.000960260855730866,0.0405593877445281
740,121.394789690595,0.0172140526663024,-0.00521149049858671,0.0166920829683326
710,123.438127934133,0.0171245751525109,-0.0412217537049564,-0.0487551280258325
680,117.564240767497,0.0164330215818664,-0.0528680012370693,-0.0925023363468442
650,107.17709693016,0.0155868065163268,-0.0667309891382342,-0.123099204077014
620,94.7634108910672,0.0145806284781359,-0.0844568331448583,-0.0278392226561941
590,92.1616546638221,0.0133997627021184,-0.0929141952569674,-0.0929663819925137
560,83.9799238964672,0.0122108243813797,-0.105767371202388,-0.126410484572045
530,74.0075625403285,0.0109852716152493,-0.118095318413037,-0.205121918555434
500,60.2827121883975,0.0097616370132762,-0.0988652513273465,-0.150130099656258
470,51.8790613339738,0.00884272300805968,-0.0888605771595694,-0.054350619529195
440,49.1346577718933,0.00809085397347648,-0.0838516908708895,-0.0245123814094561
410,47.9448918705978,0.00744008738277542,-0.0566359581547804,-0.00568138785154071
380,47.6732706677011,0.00703042131908614,-0.0605141454497788,0.00306131200985327
350,47.8194370400292,0.00661759817166535,-0.0906164789182924,-0.0673463321809855
320,44.7050225810865,0.00604430200712238,-0.108181360129321,-0.166433738501666
290,37.850800116399,0.00542454839673795,-0.12716856994552,-0.247352532091412
260,29.5563788447601,0.00477677714270549,-0.154193595392423,-0.274327931775432
230,22.4652945722161,0.00409420469915441,,
