calBP,PrDens,MKDE,PerCap,spdPerCap,
3470,11.1897556061927,0.00167077933665049,-0.0134081028516935,-0.0423632805448584,
3440,10.7256213853583,0.00164852687051247,-0.016147575830348,-0.101428009929944,
3410,9.69109469589595,0.0016221209276091,-0.00573567024722443,-0.034389290780958,
3380,9.36349015180506,0.00161284360812349,0.0207561427551521,0.0480607935385788,
3350,9.82449634643661,0.00164666985711917,0.0404097903986678,0.0590541377564366,
3320,10.4221466934085,0.00171457420092982,0.0493487119724545,0.0353762738320667,
3290,10.7974425545153,0.00180130874708958,0.0550328711721821,0.0333576220657656,
3260,11.1636942442464,0.0019032184108623,0.061830111964392,0.0601653866737451,
3230,11.8559792018252,0.00202460873693063,0.0623124311480323,0.104589583372321,
3200,13.1631584077757,0.00215478057431363,0.0588478539732575,0.0933899068381381,
3170,14.4516963846655,0.00228539014297705,0.0429937851669786,0.0528722794136618,
3140,15.2363509702988,0.00238579054743578,0.0306996908220789,0.0170879041298293,
3110,15.4989454801813,0.00246016944257963,0.0159316488938188,0.00160643036554786,
3080,15.5238634659805,0.00249967787997726,0.00712475968835413,-0.000385736221710786,
3050,15.517876504309,0.00251755107968995,0.000679915283234855,-0.00274737032925865,
3020,15.4753016620369,0.00251926338319013,-0.00732519033349899,-0.00850759289031133,
2990,15.3442025552915,0.00250087672451174,-0.0154075419582549,-0.0199897804824527,
2960,15.0405206937266,0.00246263968725303,-0.0218366361951503,-0.0202647353379528,
2930,14.7387960331564,0.00240944681075382,-0.0291051018730784,-0.0181252226483832,
2900,14.4740585342143,0.00234033031619635,-0.0261602195246251,-0.033729157381321,
2870,13.9940021946033,0.00227990063448497,-0.0130598733562861,-0.0472017278216743,
2840,13.3488080381283,0.00225031900753757,0.0296847422610096,-0.0504812440288904,
2810,12.6916697277016,0.00231812050352212,0.0970998994004058,0.00794827642486196,
2780,12.7929485899959,0.00255450030441173,0.140262482691883,0.201181565642025,
2750,15.64381597244,0.00293914614308849,0.172877176649129,0.294627552636198,
2720,21.0037973171078,0.00349382207811723,0.14604984262621,0.236641047887322,
2690,26.611522372336,0.0040432391111584,0.114631551364774,0.129821875179087,
2660,30.300559238683,0.00453433158446119,0.064751538118192,0.026310080575076,
2630,31.1083493077699,0.00483765074876494,0.0322740780493707,-0.00679521667339689,
2600,30.8976779233686,0.00499632827891902,0.00801127494877285,-0.0124097238514471,
2570,30.516615602104,0.00503651600100255,-0.0119694295033863,0.0175757130846184,
2540,31.0577079957669,0.00497659112650379,-0.0274891670124733,-0.0183666620048637,
2510,30.4924880610281,0.00484165196166702,-0.0420122829357172,-0.0455835669886717,
2480,29.1337353532417,0.00464245673074412,-0.0558467300478158,-0.0740144266145415,
2450,27.0552850394347,0.00439029737469995,-0.0533000476163119,-0.0993806377686632,
2420,24.4958013360408,0.00416242116708255,-0.0417833433322956,-0.0607697533339207,
2390,23.0515260999415,0.003992084689209,-0.00328923491448752,-0.0448236728527847,
2360,22.0410870033244,0.00397897535652429,0.0278376684806423,0.0733812518785619,
2330,23.7193116647828,0.00409129688472039,0.0528322433689743,0.119804135180997,
2300,26.7382116357772,0.00431326108338965,0.0525059708363891,0.113169157397056,
2270,29.9420200631704,0.00454578404874985,0.041845398594913,0.0195925939376447,
2240,30.5344465385307,0.00474004021250734,0.030632592646004,-0.0335743782526037,
2210,29.5262902912675,0.00488748673855336,0.0331543285113254,-0.00468195287160667,
2180,29.3883727054062,0.00505224419933035,0.0385703467733753,0.0589239298649886,
2150,31.1720867764956,0.00525091783613128,0.043512880685106,0.0800554978674279,
2120,33.7701925990858,0.00548444425620306,0.0332550994365848,0.0608977857959947,
2090,35.8906323255519,0.00566989652137511,0.0187106302178641,0.0133891779520221,
2060,36.3744098530568,0.00577698255807008,3.33295662402477E-05,-0.0126446085033098,
2030,35.9173653449362,0.00577717510560173,-0.0151564043946442,-0.0346429716369818,
2000,34.6943871840638,0.00569027412022441,-0.0204315851065644,-0.0296037000277556,
1970,33.6823587551975,0.00557519245405802,-0.0219794759538372,-0.0305223449556773,
1940,32.6698252372812,0.00545398951349733,-0.0146888125656854,-0.0153383138344538,
1910,32.1725486463122,0.005374462393181,-0.00740020043395351,-0.00148806525287259,
1880,32.124709397365,0.00533483709266282,0.00208059674970507,0.0100136886759659,
1850,32.4480122616244,0.00534594829233272,0.00555000133680572,0.020005072645497,
1820,33.1036735132883,0.00537570079935756,0.00322429054977569,0.0114673653406516,
1790,33.4854703496242,0.00539306159372564,-0.00357043989072103,-0.00385992049686212,
1760,33.356468225413,0.00537384032608808,-0.0109743104987237,-0.0269207345599383,
1730,32.4704670086081,0.00531518855380431,-0.0130302044169026,-0.0182672882894335,
1700,31.8827043858129,0.00524637982986488,-0.0118417014764391,-0.0222938874962773,
1670,31.1797795384743,0.00518462015757925,-0.00711455697785901,0.00371986952951753,
1640,31.2959802420516,0.00514786478618844,-0.00471085236589985,0.00580370172287648,
1610,31.4781408681626,0.00512367098663266,-0.00313954146536943,0.00263205982774251,
1580,31.561102350091,0.0051076102340069,-0.00271659940119662,-0.0127917908658755,
1550,31.1599505244831,0.00509375373290652,-0.00106686964023872,-0.00810329101606788,
1520,30.9084726525982,0.00508832225954622,0.00279842043930323,-0.00319766965649926,0.0935563387414788
1490,30.8097954201462,0.00510258146688225,0.00645573085539564,0.00847206097033704,
1460,31.0719267136911,0.00513562891744832,0.00930914734258614,0.0102683444516454,
1430,31.3926276760794,0.00518366046323792,0.0133265438072963,0.0164160772413311,
1400,31.9122246804039,0.00525320309373007,0.0245879886743436,0.0179498744857525,
1370,32.4902170341654,0.00538396984959601,0.0389452982525871,0.0158298803709682,
1340,33.0086256306648,0.00559778671738198,0.0654633533117872,0.042621526987412,
1310,34.4459158358913,0.005976497200336,0.0880464967758599,0.120306375987612,
1280,38.8495624046405,0.00652656741138879,0.0935563387414788,0.138182339808493,
1250,44.6064805750151,0.00716664396945509,0.0885453820413451,0.0819568975528093,
1220,48.4162765912191,0.00783015935344642,0.0769469631986874,0.0778282944084157,
1190,52.334946696687,0.00845645305146716,0.0676258362910591,0.0556257470455037,
1160,55.328607634728,0.00904810787202991,0.0584949643276946,0.078230725374592,
1130,59.8308142812079,0.00959316269319816,0.0424943678750225,0.055440186062846,
1100,63.2415172056114,0.0100096036099907,0.0296702140448497,0.0100360984461556,
1070,63.8794109260398,0.0103110404259072,0.0147459100535086,0.000866600534766171,
1040,63.9347928512459,0.0104642126570629,0.014732782784054,-0.00346505399509489,
1010,63.7136387186322,0.0106195208811197,0.0194439471536052,0.0035195845272078,
980,63.9382793445799,0.0108280268039403,0.0349587409910432,0.0226299766569733,
950,65.4016972170244,0.0112132553082257,0.0447670706887937,0.0773756713351173,
920,70.6631259870762,0.0117266456550327,0.0479107246110111,0.0757354033914828,
890,76.2226973773352,0.0123021541780227,0.0394993859342838,0.0511466312379429,
860,80.2226517223203,0.0127978062485185,0.026485644393218,0.0190701693976827,
830,81.7671917921172,0.0131412930493335,0.0157319658896755,0.00116095614247946,
800,81.8621750407061,0.0133496661852783,0.00766122199502739,0.0128376418435199,
770,82.9198669332183,0.0134523337186996,0.00770374445984245,-0.000932901390501506,
740,82.8425469456257,0.0135563672694903,0.0106026550911356,-0.00923492865596298,
710,82.0810236536726,0.0137008654343794,0.0210210852589618,0.0133154193108131,
680,83.1812758042348,0.0139919209282725,0.0269198235561294,0.0486872523073716,
650,87.3313516999543,0.0143736965824424,0.0293579448227321,0.055351423259105,
620,92.3015512185861,0.0148019341030359,0.0204359231609681,0.027285647337572,
590,94.8547329995988,0.0151075372970914,0.012349594583041,-0.001775729717715,
560,94.6864460915977,0.0152952660590002,0.00568914852637015,-0.032596816659801,
530,91.6497318609462,0.015382531095867,0.00742136194144472,0.0197116533281552,
500,93.4742223904259,0.0154971150854268,0.00814781455943603,0.0243383746188872,
470,95.7771440389826,0.0156238985078612,0.00709937350600942,0.0195211342006978,
440,97.6651909730564,0.0157352130632602,-0.00445804925952142,-0.00236299752592473,
410,97.4346808231344,0.0156652208386277,-0.0217566180997011,-0.00841599265002024,
380,96.6181122029407,0.0153280794384693,-0.0475670245638744,0.00379660917148783,
350,96.9856306343277,0.0146160374191691,-0.0974905201901306,-0.0735532359766733,
320,90.1080579265808,0.0132583674534024,-0.141410333882673,-0.205339221164262,
290,73.3813908335872,0.0115100265008499,-0.200096748243179,-0.343467468810843,
260,52.0499015593181,0.00942270099112071,-0.238048281455336,-0.465426953775851,
230,32.6804143856818,0.00742663970094404,,,
