calBP,PrDens,lo,hi,logFit3,PerCap
3470,5.79416666625508,0.371022874907091,0.808709974842093,6.84847497858245,-0.141614921894265
3440,5.02907837841963,1.10804752857796,2.10257008197654,6.8486031047508,-0.272749756352601
3410,3.8285532334956,2.34587347198015,4.04713995880282,6.84875574065414,-0.0545107623410563
3380,3.62544204262009,3.15262792936638,5.02069400615162,6.84893757456017,-0.10261401779887
3350,3.27187169798725,4.14165502996808,6.26845671583499,6.84915419139512,-0.0648858839998741
3320,3.06631440809989,4.68025689172555,7.22830300316229,6.84941224418356,-0.016773418248724
3290,3.01531078243005,5.02900925113324,8.00784625329837,6.84971965824612,0.0783447817904195
3260,3.26104496493375,5.26203543146032,8.30803909106132,6.85008587440475,0.102250308813154
3230,3.61213132988667,5.44539238601431,8.37515365264662,6.85052213863476,0.127729072697558
3200,4.10426660059674,5.72085733105185,8.41642307370571,6.8510418470155,0.139190840554752
3170,4.71721181300962,5.79764178737445,8.50793440055006,6.85166095651153,0.109124587490481
3140,5.26111244042043,5.78050484622358,8.55092181115339,6.85239847411056,0.070018480739811
3110,5.64269041497905,5.76052904871539,8.52496710317782,6.85327703921336,0.0433175771589391
3080,5.89248937602928,5.78183906385547,8.43724200814269,6.85432361697988,0.00829956722365233
3050,5.94159799597185,5.81321388064316,8.34669081953371,6.85557032366681,-0.00910840189967588
3020,5.88772525324743,5.87401003524726,8.37481561243287,6.85705540893548,-0.0211035001640516
2990,5.76477554006227,5.97724527494114,8.54542208357233,6.85882442477415,-0.0265242908859373
2960,5.61387901508952,5.97163367930632,8.66785990582693,6.86093161618898,-0.0270695175972608
2930,5.46395239384987,5.92463356648449,8.8263474363874,6.86344157531489,-0.0239615586245832
2900,5.33458370570656,5.87874199098913,8.82268242695842,6.86643120824235,-0.0135498949115125
2870,5.26278816656909,5.9605145338988,8.79103488210614,6.86999207282902,-0.00113750841351101
2840,5.25680510428807,5.98780354247322,8.74361119339755,6.87423315626395,0.0333127837338756
2810,5.43487342439713,6.06550231767957,8.78988462162134,6.87928417339023,0.126551235407072
2780,6.16807913883836,6.04343839185459,8.60797355944586,6.88529948099061,0.164627205157761
2750,7.27187866778142,6.0663481935725,8.48639651347539,6.89246271961933,0.12338139311026
2720,8.22679133968952,6.07858245523447,8.48507093828284,6.90099231331698,0.115996500943665
2690,9.23862038886319,5.97723077633075,8.64644507704249,6.91114797882133,0.0928693433576169
2660,10.137707718058,5.93341032288071,8.933817309036,6.92323841973242,0.0369783559216792
2630,10.519600856797,5.90782467746215,9.2856488656428,6.93763040739275,0.00682711857926721
