,X,calBP,PrDens,MKDE,PerCap,spdPerCap
1,465,3470,13.9452497283233,0.00220367708188324,0.0279666394091453,-0.0668963310902435
2,1365,3440,13.0428826987153,0.00226617639862248,0.033986762124929,0.0268075148769404
3,2265,3410,13.3972587186843,0.00234452018147471,0.0447464953987309,0.094272802221254
4,3165,3380,14.7217046999747,0.00245181180357816,0.0709148577826655,0.1248773205124
5,4065,3350,16.6798305086999,0.00263199501825184,0.0668203511619083,0.107315387470746
6,4965,3320,18.569410367965,0.00281387481684361,0.0456322106860148,0.0484055012414948
7,5865,3290,19.4903822167355,0.00294525288458998,0.0362011420527439,0.0156419138841239
8,6765,3260,19.7976459283851,0.00305382781362775,0.0260882336211514,0.0158473892002968
9,7665,3230,20.1138861008636,0.0031345450947765,1.59381235196321E-05,0.0276369299479948
10,8565,3200,20.6775249100086,0.00313459505394158,-0.00212059489738525,-0.0073904510099303
11,9465,3170,20.5252719770639,0.00312795489070131,-0.0228094950638242,-0.033928755187322
12,10365,3140,19.8405565043439,0.00305741536285955,-0.0345169350458869,-0.0454853030088169
13,11265,3110,18.9583192940411,0.00295368331045103,-0.035847070644266,-0.0631091982538075
14,12165,3080,17.7988464641781,0.00284967770150302,-0.0375125123193705,-0.0478195791595821
15,13065,3050,16.9677429943165,0.00274475931087125,-0.0386969560615,-0.0567106658369614
16,13965,3020,16.0322674146408,0.0026405743024659,-0.0199231352686153,-0.039970289246722
17,14865,2990,15.4040908779976,0.00258848638370909,-0.00810053726266347,0.0076798094165822
18,15765,2960,15.5228467878743,0.00256760295101155,-0.00437731928493434,0.031019119543215
19,16665,2930,16.0118975779849,0.00255638829606762,0.0101518153695199,0.0468577370208645
20,17565,2900,16.7800349110472,0.00258247245482631,0.0114479758772568,0.0253726686028828
21,18465,2870,17.2112364096351,0.00261220640925532,0.00946048286089773,-0.0170539606249949
22,19365,2840,16.9202053314023,0.00263703640992545,0.00809497340066212,-0.0257394390851831
23,20265,2810,16.4902459316066,0.00265846978377447,0.014529672648866,-0.0672991227735316
24,21165,2780,15.4169866025279,0.0026973784601421,0.0424872054878396,0.0354982085669668
25,22065,2750,15.9740916230241,0.00281445198565822,0.0439813763595849,0.101415440178714
26,22965,2720,17.6791075221167,0.0029409978910964,0.0512928795553336,0.151464656232038
27,23865,2690,20.5702988633771,0.00309578596955361,0.0557552656883402,0.0923124964989968
28,24765,2660,22.5596007483447,0.00327329488513881,0.0476759592780613,0.0281870553275261
29,25665,2630,23.2045361780484,0.00343313228478422,0.019520432977882,-0.0174984033819796
30,26565,2600,22.8020257590265,0.00350080688326394,0.0154240915896375,-0.0252620424655503
31,27465,2570,22.2332149272448,0.00355522222407762,0.0116770838315698,0.0020759252293221
32,28365,2540,22.2794173588456,0.00359698018313367,0.008264950679159,0.0129665981268903
33,29265,2510,22.5701866807376,0.00362683223989841,0.00696640403676518,0.031407845473812
34,30165,2480,23.2903172949176,0.00365218642988269,-0.000605855513013509,0.0217492698085766
35,31065,2450,23.8024133611761,0.0036499744027517,-0.00189300918689295,0.00107457280477874
36,31965,2420,23.8280045345891,0.00364307150336273,-0.0111438229882861,-0.0192490461930261
37,32865,2390,23.3737244307543,0.00360269912849719,-0.0217228353080339,-0.0630982479238362
38,33765,2360,21.9444499075073,0.00352528219063828,-0.0213741206480753,-0.039421975659824
39,34665,2330,21.0961863047422,0.00345073194493725,-0.0156365376710177,-0.0243795679113057
40,35565,2300,20.5880891584415,0.00339719410891742,-0.0146325686436031,0.0130935499928406
41,36465,2270,20.8594328827946,0.00334784635560948,-0.00532473424424929,0.00801186136312326
42,37365,2240,21.0272270413761,0.00333006733974965,0.00688443249118365,-0.0113041506173253
43,38265,2210,20.7908705215583,0.00335307205990289,0.00821313094598963,-0.000300832720013133
44,39165,2180,20.7846168881238,0.00338072468166062,0.0195740029958849,0.026732318828655
45,40065,2150,21.3477310330992,0.00344755089127659,0.0217839351692053,0.0357698977309187
46,40965,2120,22.125158549816,0.00352347608873713,0.0237081773293522,0.036661196770265
47,41865,2090,22.9513453047517,0.00360800939043175,0.0266479458873059,0.0247009914579315
48,42765,2060,23.525326052136,0.00370544793195662,0.0261746898712456,0.0139546766622463
49,43665,2030,23.8559156412718,0.00380371735786399,0.0274274863968964,0.024829835407115
50,44565,2000,24.4556691778727,0.00390948763989894,0.0271981751604349,0.0220777044769585
51,45465,1970,25.0015984728004,0.00401727777232023,0.0276515168089153,0.0356198157396075
52,46365,1940,25.9082014654109,0.0041299116685806,0.0288838530761746,0.0305804944025159
53,47265,1910,26.7127257545173,0.00425093888249816,0.028177214481687,0.0326092685560706
54,48165,1880,27.5981665297334,0.00437242198934308,0.0283128348437263,0.0313394618998202
55,49065,1850,28.4767738484515,0.00449798681123467,0.0278076307330393,0.0369293663572581
56,49965,1820,29.5480623175362,0.00462482046635698,0.0253402737613815,0.0291251362643701
57,50865,1790,30.421308639501,0.00474351217200997,0.0213674737098817,0.0214170854395253
58,51765,1760,31.0798714812313,0.00484595966789303,0.0207742393172836,7.19618285578427E-05
59,52665,1730,31.08210812609,0.00494768375563995,0.0194294840775235,0.0263023778140989
60,53565,1700,31.9104878995849,0.00504475466351121,0.0187353017273884,-0.00178195704717465
61,54465,1670,31.8536754145309,0.00514016060310603,0.0210511475258857,0.0235212236138795
62,55365,1640,32.6117938211983,0.00524951384962942,0.0265698491022288,0.0258572524064511
63,56265,1610,33.4660418639444,0.00539086212628035,0.0262206626019221,0.0404453242565781
64,57165,1580,34.8473318488775,0.00553408357833497,0.02795578014518,0.0443870520499283
