calBP,PrDens,MKDE,PerCap,spdPerCap
3470,18.6371556798991,0.00162063747291934,0.079880500227814,0.0588006890888035
3440,19.7658933522176,0.00175540583267157,0.107286916872789,0.156792592988132
3410,23.1212125279819,0.00195421189763047,0.123176487033594,0.165724791809062
3380,27.2887704630962,0.00221037785886989,0.114068882575111,0.148973620792662
3350,31.6725032786916,0.00247745632981963,0.0951732475079474,0.122076670290917
3320,35.784884025046,0.00272482882018694,0.0699500820460512,0.0441338923243158
3290,37.399579559319,0.00292225532552011,0.0542275313370739,0.0225451279349773
3260,38.2523344798399,0.00308509737613069,0.05326750212412,0.0400641337262311
3230,39.81599533089,0.00325388843713127,0.0554719980815186,0.0697919543462824
3200,42.6940974917084,0.0034394883382811,0.0568496519471955,0.0804647466161135
3170,46.2714631884619,0.00364068690277209,0.0485727318177815,0.0562541386968234
3140,48.949030553468,0.00382189015499661,0.0386140705918558,0.0336749772196412
3110,50.625456423957,0.0039723552303532,0.0292293834382162,0.0226395929021259
3080,51.7846686821426,0.00409017828367746,0.0226940400001467,0.0136282149211686
3050,52.4952321346798,0.00418406222693325,0.0188522913540554,0.0197102900538919
3020,53.5401927953658,0.00426368960803039,0.0146551251598872,0.0214634235913378
2990,54.7017697491342,0.0043266346198235,0.00843292106322036,0.0127815592241287
2960,55.4054310233389,0.00436327506389057,-0.00240250468979042,0.00478357809225027
2930,55.6711021520653,0.00435280485748286,-0.0168095541341611,-0.00984353186827303
2900,55.1257901849182,0.00428024768394211,-0.0290538240531966,-0.0439921127511242
2870,52.7532591527294,0.0041576792830029,-0.0394144207396518,-0.0533783130117254
2840,50.0112131018267,0.00399699421825248,-0.0364401780470809,-0.0594130474865504
2810,47.1264396467714,0.00385396487159418,-0.0152594877174623,-0.0655647223269606
2780,44.135721791281,0.00379560176998112,0.0123527078255021,0.0193195489166476
2750,44.9966940458966,0.00384277851002301,0.0455337615309821,0.0862831334865928
2720,49.0515680996133,0.00402179948998948,0.0589552485746383,0.10311464192895
2690,54.3794756507771,0.00426603440681002,0.0512959037810115,0.085295794214967
2660,59.2213779696082,0.00449057425114407,0.0370150026505947,0.0102659520468533
2630,59.8324731660617,0.0046599074704069,0.0188632905914279,0.004804985890563
2600,60.1206591657864,0.00474864294954793,0.00596862498748507,0.00438960340576067
2570,60.3851450854743,0.0047770705710259,-0.00493965561155818,0.00841278996916817
2540,60.8952955137162,0.00475353167246199,-0.0168848421489232,-0.0164391421197845
2510,59.9024125286602,0.00467394285371796,-0.0314228293997161,-0.0424404956727722
2480,57.4133172683469,0.00452935787601397,-0.040979293430734,-0.0570599198174748
2450,54.2290295034359,0.00434749965022732,-0.0410957250416484,-0.0665263532954556
2420,50.7387547182306,0.00417245737895238,-0.0292012290699324,-0.0417009582249781
2390,48.6664097169327,0.00405237825683959,0.00317733531141684,-0.035711019520452
2360,46.9591480686562,0.00406527449836263,0.0403556847667064,0.0645703660250168
