calBP,PrDens,MKDE,PerCap
3350,3.58491987685409,0.00298118085744251,0.0383782581179402
3320,3.6674369240283,0.00309781722040788,0.038011301207848
3290,3.79268430751681,0.00321783586581297,0.0337068856350662
3260,3.98816485104373,0.00332814778283938,0.0290127904528985
3230,4.20402957671526,0.0034261210030618,0.0165053206655914
3200,4.23090070895842,0.00348313948861498,-0.0100993015246909
3170,4.18774074069632,0.00344813924914238,-0.0427124977224267
3140,4.09173103515539,0.00330396162124617,-0.0670752540293007
3110,3.80740374171205,0.00308961653874803,-0.0792938151518268
3080,3.38015202864259,0.00285409033483888,-0.0864475221176075
3050,3.06983430664183,0.00261772507458773,-0.0923273785118424
3020,2.81532202424157,0.00238685898636006,-0.0933737140668622
2990,2.51189324157553,0.00217407775921649,-0.0851018670437567
2960,2.32532678354972,0.00199671371940032,-0.0653527904102091
2930,2.20026531224161,0.00187039548612911,-0.036113279939614
2900,2.12609717692711,0.00180405447591144,-0.0042555630147687
2870,2.12983541923043,0.00179639352080726,0.0256642190360878
2840,2.17932726077946,0.0018430932504337,0.0602511435686663
2810,2.25329893707698,0.00195755533770559,0.111802934702952
2780,2.44179032433458,0.0021891193786777,0.173551424693224
2750,3.0714663844456,0.00260400534631564,0.210583224952347
2720,3.93344579626305,0.00321437842288087,0.196631413276266
2690,4.74920110570597,0.00391284767950526,0.142310438876915
2660,5.44481385391892,0.00451125711691521,0.0782198212946206
2630,6.06034735977943,0.00487829452334699,0.0294913251191016
2600,6.11042999914982,0.00502430432201098,0.00429319609273637
2570,6.01971816469253,0.00504592101484317,-0.0043287963527936
2540,6.00069767712704,0.00502412545865432,-0.00974486645146655
2510,5.92196679865329,0.00497540380558545,-0.0222852147366295
2480,5.75100483496714,0.00486575220608956,-0.0428312051613098
2450,5.59378533482344,0.00466174627176013,-0.0632720190464493
2420,5.30984516749808,0.00437592574080488,-0.0711485249521679
2390,4.77155925591161,0.00407540272639172,-0.0536827355435721
2360,4.52502386405811,0.00386239259542842,-0.010467688426453
2330,4.67342908279539,0.00382217314275331,0.0320884121245459
2300,4.81588532337946,0.00394680960859748,0.0439579227120683
2270,4.80594596938105,0.00412417286142859,0.0285641135524939
2240,5.00543123812906,0.00424367481188203,0.0147782002911123
2210,5.19621217040158,0.0043068543785288,0.0226981440799108
2180,5.2825602258715,0.00440572987986576,0.0411868263859576
2150,5.43667412493311,0.00459097658724963,0.0447577687697622
2120,5.72799344637077,0.00480112629085705,0.0274873171940415
2090,5.9759469700237,0.00493492685706339,0.00535042247618645
2060,6.06950123316002,0.00496140156291073,-0.00491209563703965
2030,5.98416944348506,0.00493709044209812,0.000297938087988392
2000,5.9415961985721,0.00493856160853204,0.0132058172899114
1970,5.99034699705808,0.00500421187947127,0.0238752139620289
1940,6.1192991168205,0.00512512619271921,0.0262148233231123
1910,6.25716080187763,0.00526125699700102,0.0198448178524124
1880,6.34906584789772,0.00536670855658376,0.00979864886957582
1850,6.45245136276748,0.00541955353117167,0.00225239524676457
1820,6.49879378353348,0.00543177426558031,-0.000672029522517548
1790,6.51200199569216,0.00542812517919841,-0.000334126267691914
1760,6.48928599242114,0.00542631180295691,0.00238952718637808
1730,6.52642963635315,0.00543929362656505,0.00663645874071062
1700,6.51091928471296,0.00547551131998375,0.00971806948064735
1670,6.51454675192899,0.00552898211506593,0.00928849643557506
