calBP,PrDens,MKDE,MKDE2,PerCap,spdPerCap
3470,13.5473629994686,0.00182273830302817,0.182273830302817,-0.0189509569586654,-0.0790330261858609
3440,12.5178908574422,0.00178852091805519,0.178852091805519,-0.0152918356383323,-0.0285213611113559
3410,12.16590696215,0.00176137920236823,0.176137920236823,0.00528555243688178,0.0187559352069928
3380,12.3962432588276,0.00177071371179153,0.177071371179153,0.00914461615539608,0.0343963019775635
3350,12.830046022071,0.00178698047228992,0.178698047228992,0.0233296944110508,0.0338544859491807
3320,13.2718367388043,0.00182916028864013,0.182916028864013,0.0277577922175274,0.0115323448399338
3290,13.4257780829534,0.00188064498493302,0.188064498493302,0.0401039497560198,0.000689359682112478
3260,13.4350364638754,0.00195759904411606,0.195759904411606,0.0487969426281873,0.0364163528867496
3230,13.9333090640459,0.00205549292934871,0.20554929293487,0.0516263122157135,0.0655768880624699
3200,14.8776367631155,0.00216439743066363,0.216439743066363,0.0586706399545891,0.112798577958749
3170,16.6541223616141,0.00229518313944449,0.229518313944449,0.0512632854880444,0.0921553918470313
3140,18.2618314191482,0.00241590975216601,0.241590975216601,0.0294170522026365,0.0599722648904519
3110,19.3905422014317,0.00248803434076901,0.248803434076901,0.0243623218415703,0.00353277395900697
3080,19.4591657483404,0.00254939301928446,0.254939301928446,-0.00046659439291119,-0.0205387880265877
3050,19.0635744570144,0.00254820376426783,0.254820376426783,-0.00814168768114421,-0.0268448727843147
3020,18.5586232256291,0.00252754131282211,0.252754131282211,-0.0160548111593313,-0.0231974323767119
2990,18.133065821176,0.00248728612374423,0.248728612374423,-0.0219759940434852,-0.0187723700395992
2960,17.7958403633512,0.00243322177344622,0.243322177344622,-0.0241214975731046,-0.0258253914807698
2930,17.3421395360441,0.00237523104374807,0.237523104374807,-0.0276350279002129,-0.0252471129417615
2900,16.9097814431065,0.00231049014598059,0.231049014598059,-0.022516079243144,-0.0480537767205131
2870,16.1164173141472,0.00225904827467709,0.225904827467709,0.000490703987615859,-0.044445784842666
2840,15.4157956690405,0.00226015707069671,0.226015707069671,0.00944734300029815,-0.0483020178331608
2810,14.6888787335301,0.00228161073025288,0.228161073025288,0.0755937019205932,0.00154291396301165
2780,14.7115599026758,0.00246077257642948,0.246077257642948,0.086452683326268,0.162757196268432
2750,17.3118418778514,0.00268297979166939,0.268297979166939,0.102507948525142,0.210744979828872
2720,21.3731561428271,0.00297259701912896,0.297259701912896,0.105437593636844,0.195092693880584
2690,25.9774393143983,0.00330314016636663,0.330314016636663,0.0785224459556995,0.0923019372088345
2660,28.4893513287667,0.00357296587265715,0.357296587265715,0.0491132105167704,0.0206352937855971
2630,29.0833450026953,0.00375282630732128,0.375282630732128,0.0381998547817366,-0.00555160993412107
2600,28.9223329672061,0.00389895704433106,0.389895704433106,0.00894910285132244,-0.00930832857637132
2570,28.6543634975362,0.00393400580550745,0.393400580550745,0.00558683797715709,0.00251388852015522
2540,28.7264879914703,0.00395604596862631,0.39560459686263,-0.00301445443882376,0.00117451191993512
2510,28.7602474155763,0.00394413860441621,0.394413860441621,-0.00510046582643486,0.00198821804909333
2480,28.8174859410637,0.00392407287603107,0.392407287603107,-0.00921889427997602,-0.00631862612173117
2450,28.6359730814904,0.00388806350137906,0.388806350137906,-0.0114782469789247,-0.0208635645764561
2420,28.0447139417117,0.00384369049756702,0.384369049756703,-0.00874954374222003,-0.0270565579446487
2390,27.2960937258831,0.00381020665720129,0.381020665720129,-0.0051671775672224,-0.0529855519479301
2360,25.887443728904,0.00379056942107117,0.379056942107117,-0.000381977398677513,0.00354390275999172
2330,25.9793490677876,0.00378912178572377,0.378912178572377,0.0134991407360801,0.0480305884216534
2300,27.2576044407001,0.00384061847248243,0.384061847248243,0.0151795174351843,0.0631980620771961
2270,29.035830629944,0.00389936192824595,0.389936192824595,0.0218549608526839,0.0207793345754403
2240,29.6454880708794,0.00398552039614776,0.398552039614776,0.0233078297181475,-0.0276796501354744
2210,28.8361639099865,0.00407950526375116,0.407950526375115,0.0391840318336643,-0.00265172613220477
2180,28.7597995939673,0.00424252984985349,0.424252984985349,0.0447985627190741,0.056588244180952
2150,30.4341949088076,0.00443691057021591,0.443691057021591,0.0492653616163201,0.0998064537018286
2120,33.6284778309579,0.00466097045381672,0.466097045381672,0.0535189854826736,0.0862830636459506
2090,36.658903285758,0.00491721672352283,0.491721672352283,0.0454690241273319,0.0577455090192407
2060,38.8381043331539,0.00514595869887713,0.514595869887713,0.0304637734431923,0.022861340471108
2030,39.7362224356661,0.00530513628367474,0.530513628367474,0.0261170300880647,0.0139153476755425
2000,40.2930308929473,0.00544551585707837,0.544551585707837,0.00880653679293086,0.0100066897895044
1970,40.6982548475964,0.00549368377780816,0.549368377780816,0.0058027972561101,-0.00768418024167517
1940,40.3867205974098,0.00552565518303826,0.552565518303826,0.00259632340293781,-0.0154411334498703
1910,39.7678938437563,0.00554002021096622,0.554002021096622,0.00134165036321576,-0.0112587391354078
1880,39.3226685417944,0.00554745796941445,0.554745796941445,0.00525195942632362,0.0084296509787043
1850,39.65554596223,0.00557666963568649,0.557666963568649,0.00878286687456509,0.0219021661692356
1820,40.5336696215079,0.0056258645024475,0.56258645024475,0.011176103161386,0.0146861316110183
1790,41.1333451065438,0.00568909240716823,0.568909240716823,0.0163877282410194,0.00577346894629605
1760,41.3715140661475,0.00578309182223034,0.578309182223035,0.0168688083911537,0.010905604238201
1730,41.8251645957279,0.00588147314501877,0.588147314501878,0.0193887653625477,0.0347076149612833
