calBP,PrDens,lo,hi,logFit3,PerCap
3470,3.22162854798446,1.08870257318617,2.932091183982,3.54321456251489,0.0602302897994693
3430,3.42163080759292,1.85101672631947,4.11263220122551,3.54857666459333,-0.0122700011161814
3400,3.37990391180111,2.32910537816996,4.58493341218443,3.55439837126214,0.00467682230247801
3370,3.39574814324392,2.58750209081993,4.70262675271835,3.56071813594172,0.0443172248853891
3350,3.54962274141914,2.75677696711253,4.62092744316064,3.56757745983831,0.0483885633482981
3320,3.72560737103147,2.72658670793111,5.07930860646473,3.57502110287301,0.0251650076658236
3290,3.82055193900421,2.62179199312693,5.30821890038154,3.58309730354099,0.0267350284998245
3260,3.92407214586874,2.63977037053781,5.17153459710666,3.59185800692822,0.041470382828896
3230,4.09022634729497,2.7414517963693,4.95607874297106,3.60135909981201,0.075384760196215
3200,4.41048680662584,2.76488810459601,5.00074825534108,3.61166065141527,-0.00206344096821143
3170,4.40139541046471,2.89009767241699,5.04355429822884,3.62282715796449,-0.0557859873263717
3140,4.1625823631842,2.92114359059173,5.01370019600896,3.63492778871263,-0.101537852227031
3110,3.7606724700765,2.77167397042682,4.94956774815389,3.64803663052139,-0.119742960495806
3080,3.33627471370547,2.62580725556126,4.92276898090584,3.66223292744747,-0.0775891697801658
3050,3.08720348334433,2.62648959910819,4.96263725226418,3.67760131103669,-0.104029130610213
3020,2.78218482955448,2.55429654296901,5.13821290819609,3.69423201619453,-0.106169918144368
2990,2.50194045000535,2.52962744074628,5.1400550907514,3.71222107656759,-0.0896066317318826
2960,2.28750105432033,2.66136398625628,5.08981458497362,3.73167049233765,-0.0735753067214316
2930,2.12523986223257,2.8150635646276,5.14121677125506,3.75268836220215,-0.0272178689919216
2900,2.06817547044634,2.77902394767699,5.23617961124721,3.77538897009843,0.0279819424379796
2870,2.1268643221021,2.87602526289019,5.05241049789044,3.79989281594151,0.0252416175052602
2840,2.18123310919346,2.93967528957865,5.09809521456078,3.82632657830558,0.0302840466637253
2810,2.2483000784236,2.8520475802321,5.20659060870801,3.8548229956237,0.0359672412412596
2780,2.33063707093575,2.98301846750392,5.30252908032054,3.88552065114991,0.124891115695687
2750,2.64067024839394,3.21547168992073,5.38431712993775,3.9185636456835,0.337061114023096
2720,3.69911603233235,3.29454895564265,5.37774219948827,3.9541011409686,0.288043531808942
2690,4.93393780548618,3.29865478493533,5.43554979141461,3.99228675584673,0.188615192811787
2660,5.95810576292069,3.17416240636177,5.53135285109444,4.03327779676335,0.0541855819241766
2630,6.2898560660591,3.05530889573624,5.5972133087252,4.07723430424172,-0.0271070882730775
2600,6.12164651781222,3.10564241626743,5.56804829249337,4.1243178975828,-0.0415739837943274
2570,5.87236304228717,3.12670470137497,5.56162993778938,4.17469040148969,0.0204385791978767
2540,5.99362074588673,3.10146615598711,5.62180265320528,4.22851224071702,-0.00407678522211064
2510,5.96923578130811,3.131583895137,5.5596451976148,4.28594059238133,-0.00828471478296966
2480,5.91998665456219,3.08244156309118,5.56434768222995,4.34712729039559,-0.0421777012502007
2450,5.67548767358216,3.03141073410766,5.82452814876503,4.4122164827454,-0.083710819114081
2420,5.21972998858595,2.98597001429897,6.21061317672055,4.48134205009404,-0.0641392572237778
2390,4.89545105110168,3.05125566379565,6.16587305732419,4.55462480351371,-0.11541525634495
2360,4.36182767336409,3.3767041908691,6.03591559957056,4.63216948992408,-0.0193577925298443
2330,4.27820431134977,3.66540483538781,6.03856321642633,4.71406164589554,0.0862069896783835
2300,4.66337930377982,3.95894182973356,6.27466946364005,4.8003643535262,0.104240912018113
2270,5.17573454338793,3.92177314992484,6.55353140344541,4.89111496565475,0.0292311895326871
2240,5.32926036024052,3.9148902753417,6.55453819424811,4.98632188109042,-0.0710117292767769
2210,4.96394471496728,3.77857718283114,6.64091691966202,5.08596146303205,-0.01289467746119
2180,4.90034716508806,3.78907434087823,6.66666316984114,5.18997520447949,0.0999235672832133
2150,5.41530725286579,4.04286765206912,6.65049576144105,5.29826725219034,0.091643631264883
2120,5.93503693428033,4.42582693713527,6.72802968086094,5.41070240454967,0.0503666893429864
2090,6.24162110129763,4.51257763435538,7.10685388627445,5.52710469760815,-0.0282068729146847
2060,6.06802430915403,4.51997111920739,7.59163388836115,5.64725668667122,-0.0307205189474511
2030,5.88444570584128,4.4987425631435,7.67000675651469,5.77089951762729,-0.00376104017936019
2000,5.86235563596797,4.65717196975249,7.552062090578,5.89773386250555,0.0124832622606652
1970,5.93599563626981,4.7696393514206,7.86667289522753,6.02742176783941,0.0342024779674812
1940,6.14253331264513,4.84252249781598,8.26078382121713,6.15958943309451,0.0238246060416387
1910,6.29063396350638,4.97136628282083,8.38055982943812,6.29383090104415,0.0153480484748991
1880,6.38792764267981,5.15679871130028,8.43380514457501,6.42971260437286,0.00828758990552769
1850,6.4410881492942,5.28251030932974,8.49682582737014,6.56677867516396,0.00805829776224076
1820,6.4932020481653,5.35071038177406,8.54083732232948,6.70455688869375,0.00797519621138276
1790,6.54519365459941,5.45691924432759,8.57230382082485,6.8425650825266,0.000318604051669391
1760,6.54727931204854,5.50826330959697,8.76705290682953,6.98031786846983,-0.0116136139406398
1730,6.47168156895014,5.81467471110663,8.76791973023317,7.11733344024771,0.00341770449951451
1700,6.49383770416267,6.27592637476383,8.82776930503331,7.25314027490751,-0.00164714670113919
1670,6.48315020516623,6.52279175823963,9.20193202032563,7.38728353134996,0.0163980757660243
1640,6.59033782694723,6.5221019678026,9.51890609482426,7.51933096456758,0.0060314093686249
