calBP,PrDens,MKDE,PerCap
3320,3.06631440809989,0.00102119164367882,0.0192783170809756
3290,3.01531078243005,0.00104106949006338,0.0212164077570618
3260,3.26104496493375,0.00106339322218306,0.0832432118566855
3230,3.61213132988667,0.00115570224113828,0.112325196155574
3200,4.10426660059674,0.00129308825875376,0.0992506160380833
3170,4.71721181300961,0.00142801300696558,0.0754456725696588
3140,5.26111244042043,0.00153991873409487,0.066726887287448
3110,5.64269041497906,0.00164617848545222,0.049062564881984
3080,5.89248937602928,0.00172895831506144,0.00535350200680984
3050,5.94159799597185,0.00173823911710136,0.00228301833486544
3020,5.88772525324743,0.00174221208232666,-0.0071105684191366
2990,5.76477554006227,0.00172986790319008,-0.0184276690742289
2960,5.61387901508952,0.00169828238745346,-0.0178732145858405
2930,5.46395239384987,0.00166819827269892,0.00412370845649246
2900,5.33458370570656,0.00167509163937192,0.0134424906784165
2870,5.26278816656909,0.00169776106855104,0.0230760999739124
2840,5.25680510428807,0.00173739430422476,0.0746710890604652
2810,5.43487342439713,0.00187209393091247,0.076796522352236
2780,6.16807913883836,0.00202152883856006,0.0874437767312308
2750,7.27187866778142,0.00220625796667297,0.110647356827704
2720,8.22679133968952,0.00246439221082996,0.100301781608821
2690,9.23862038886319,0.00272439665089996,0.0645661517049012
2660,10.137707718058,0.00290610339046937,0.0415976258333952
2630,10.519600856797,0.00302953992671449,0.0376239517025549
2600,10.5916651350326,0.00314569458758896,0.0104173859982568
2570,10.7549388722952,0.00317863578502196,0.00295628196385156
2540,10.707404397132,0.00318804663236809,-0.00491772427922577
2510,10.4606591891587,0.00317240718480499,-0.0339124224777834
2480,10.1397871395772,0.00306662694176902,-0.0378426540476431
2450,9.67683276028985,0.00295274600780955,-0.0442623297262914
2420,9.22080842232976,0.00282490082491695,-0.0534260439135954
2390,8.54316284993157,0.00267793831719958,-0.056085114996927
2360,8.0359002178975,0.00253187997228517,-0.0451711707023996
2330,7.68948247962284,0.00242005659956515,-0.0400802880263376
2300,7.37683487020069,0.00232497814761253,-0.0361833555993707
2270,7.05826117446987,0.00224235641635457,-0.000284754767659656
2240,7.11293139864184,0.00224171798557664,0.00635448715202802
2210,7.18660805407198,0.00225600830946792,0.0234645719974518
2180,7.27221934185505,0.00230957052861733,0.0617920080717056
2150,7.67136583368379,0.00245678503034186,0.0597774151322987
2120,8.21681532274491,0.00260812353877645,0.0838938854469404
2090,9.0100258895004,0.00283636952334216,0.0988601812905143
2060,9.85570349008207,0.00313110218654417,0.0904336087663555
2030,11.1719519252509,0.00342745734555832,0.0891300553054482
2000,12.3459117362229,0.00374697460705291,0.083680669201132
1970,13.5661023253042,0.00407401668025736,0.0729568593316747
1940,14.5810265681958,0.00438235508904723,0.0513016080489415
1910,15.5344048838027,0.00461304370801577,0.0470408905569508
1880,15.9709625892061,0.00483523035043748,0.0447308147109613
1850,16.5457656846018,0.00505642435736914,0.0425181811287905
1820,17.0387168159482,0.00527605028599567,0.0408543957801726
1790,17.6628142550417,0.00549606379108527,0.0428994539044627
1760,18.6399888557672,0.00573697240485474,0.043094571173202
1730,19.7883675100894,0.00598960931273603,0.0408310268606895
1700,20.5350293659222,0.00623923272205285,0.0355970364806373
1670,21.2683842365124,0.00646533126130521,0.0336268332397101
1640,22.0339776624911,0.00668643657885591,0.0325162324512887
1610,22.5299617805171,0.00690742773388998,0.0314483332913573
1580,22.9481951380173,0.00712810662787944,0.0304870063686691
1550,23.9274245998929,0.00734876781860071,0.0322708506432914
1520,24.8905313909578,0.00758978683540644,0.0338878524975073
1490,25.5961937018104,0.00785139606442392,0.0328797032352623
1460,26.41771637825,0.00811383850894888,0.0336482479380225
1430,27.611875033175,0.0083915001761473,0.0332072782340598
1400,28.270142759331,0.00867483745074696,0.0356408350350321
1370,28.6919337092056,0.00898959163441509,0.0505380115180687
1340,29.5969732104799,0.00945558369817978,0.0501051850438161
1310,31.8441779734408,0.00994142747575183,0.0537556043811591
1280,34.2352141334965,0.0104904594884399,0.0613561219208263
1250,36.2504787421539,0.011154269572269,0.0578756093570698
1220,38.8683069228716,0.0118188764828433,0.0431604275748132
1190,41.6693874058556,0.0123401525769588,0.0341543762350032
1160,42.8442622971861,0.012768902963816,0.0322480669548115
1130,43.3135494732425,0.0131873867828396,0.0241361379369165
1100,44.4602565641973,0.0135095516372457,0.0218538330450624
1070,45.2157924455909,0.0138080367659591,0.0248720725791678
1040,45.3788143670396,0.0141557778529069,0.034866387384783
1010,46.1699107368554,0.0146580439074332,0.0344302395521519
980,47.7282976461844,0.0151715125721816,0.042494955146867
950,50.9816859220183,0.0158301199564577,0.051114495059716
920,54.4431013228403,0.0166603050470242,0.0481314617487625
890,58.1871049977809,0.0174818012011941,0.0339653287436654
860,61.2956511323898,0.0180857753532127,0.0278604932052855
830,63.2788191117112,0.0185967387702667,0.0225172640356246
800,63.2724238717063,0.0190202365595385,-0.00358006857656035
770,64.1348406030389,0.0189522645531342,-0.00764538355001099
740,64.4941323832128,0.0188079197104289,-0.0170847830047833
710,61.9992639180934,0.0184893198378824,-0.0375739382268891
680,60.0487727096134,0.0178074929521722,-0.0398110288120535
650,57.6607258497442,0.0171124846272501,-0.0640684116491617
620,54.8383089539816,0.0160504980561512,-0.0868901872418251
590,49.8702108704735,0.0147147397190145,-0.0964867586191112
560,45.0608537615378,0.0133613062264429,-0.123824576317522
530,38.9986634833643,0.0118051792946925,-0.146973711325048
500,33.0066017264568,0.010191608107779,-0.159602675006219
470,25.7018641354873,0.00868816688877935,-0.136195711107911
440,20.6222990408309,0.00758191844783001,-0.152198569025383
410,18.6909089212977,0.00651148598441386,-0.141977384179921
380,17.9409854664802,0.00564963142099049,-0.107457203120587
350,16.5471438697533,0.00507401848720261,-0.119952454514921
320,14.9173993528043,0.00450046466426948,-0.132796590894471
290,13.0474836034243,0.00394080122516891,-0.151159964238165
260,9.6133247079237,0.00338794687064611,
