calBP,PrDens,lo,hi,logFit3
3500,0.185068152302775,0.00669260834778735,0.0164117017972281,0.228280661985279
3499,0.184373982198222,0.00653968868999142,0.0161879032133762,0.228280781880685
3498,0.185068152302775,0.00669260834778735,0.0164117017972281,0.228280902477693
3497,0.185751673460507,0.00683909845026512,0.0166396834180505,0.228281023780408
3496,0.187731572861092,0.00726454393197888,0.017334007107566,0.22828114579296
3495,0.188985800514435,0.00756269401228302,0.0179484403439319,0.228281268519503
3494,0.190181397109959,0.00787492763008115,0.0185822689399966,0.228281391964214
3493,0.191877386516028,0.00837826125570571,0.0195737623122173,0.228281516131296
3492,0.192906005371393,0.0087264019150159,0.0202634317726654,0.228281641024975
3491,0.193856920353597,0.00909952470933881,0.0209786483710273,0.228281766649505
3490,0.194724852715239,0.00948190116342747,0.0217223398818481,0.22828189300916
3489,0.195494903790536,0.00988633935713678,0.0225034880216824,0.228282020108244
3488,0.196182342700738,0.0103100899402505,0.0233079999822707,0.228282147951082
3487,0.196762049845299,0.0107575066745817,0.0241368604510698,0.228282276542027
3486,0.197249850685621,0.011218503470158,0.0249654382791311,0.228282405885456
3485,0.19744454064056,0.0114569504081184,0.0253390669496621,0.228282535985772
3484,0.197772454839048,0.0119294866804477,0.0261121085799511,0.228282666847405
3483,0.198064145061094,0.0126134129468431,0.0273027150786167,0.22828279847481
3482,0.198044290431037,0.0136013815094164,0.0289772746960011,0.228282930872466
3481,0.197328870708771,0.01509227910896,0.0313898472481894,0.228283064044882
3480,0.195490309700338,0.017059548813548,0.0351079832699132,0.228283197996591
3479,0.193169248165993,0.0185850572823898,0.0388534414614838,0.228283332732152
3478,0.190795710153649,0.020125374406393,0.0421414480744006,0.228283468256154
3477,0.190144154732533,0.0205360869746731,0.0430044202450123,0.228283604573208
3476,0.190795710153649,0.020125374406393,0.0421414480744006,0.228283741687957
3475,0.192620105618998,0.0189572523411776,0.0396509003694504,0.228283879605067
3474,0.195080578588133,0.0173510017692268,0.0358276551797926,0.228284018329233
3473,0.196543763315524,0.0160804121457952,0.0331142954295506,0.228284157865178
3472,0.197328870708771,0.01509227910896,0.0313898472481894,0.228284298217653
3471,0.197328870708771,0.01509227910896,0.0313898472481894,0.228284439391435
3470,0.19709725827171,0.0154132694356234,0.03195192161687,0.228284581391329
3469,0.196543763315524,0.0160804121457952,0.0331142954295506,0.228284724222171
3468,0.195080578588133,0.0173510017692268,0.0358276551797926,0.228284867888821
3467,0.193169248165993,0.0185850572823898,0.0388534414614838,0.228285012396172
3466,0.191442561227102,0.0197275475208356,0.0412886983311121,0.228285157749142
3465,0.190144154732533,0.0205360869746731,0.0430044202450123,0.228285303952679
3464,0.188768671493232,0.0213782822647281,0.0447939938889859,0.228285451011761
3463,0.188046032023947,0.0218134517092707,0.045713256962088,0.228285598931393
3462,0.188768671493232,0.0213782822647281,0.0447939938889859,0.228285747716611
3461,0.188768671493232,0.0213782822647281,0.0447939938889859,0.228285897372481
