calBP,Correct,CKDE,MKDE,ConstantCorrect,logistic,exponential,EXPCorrect,Logistic,LogisticCorrect,LogisticOver,OverCorrect,missKDE,MissCorrect,Pert
3470,0.0060893696721555,0.0060893696721555,0.0026402,0.00230640469364272,,0.0017640020028634,0.0040685024989993,0.00200562000706151,0.0046257713979504,0.00200562000706151,0.0046257713979504,0.0014979053160545,0.00345477585158047,
3440,0.00629345129126791,0.00629345129126791,0.0027484285281496,0.00228983625617691,,0.00179066147911493,0.00410032157741675,0.00200633578363448,0.00459418041943135,0.00200633578363448,0.00459418041943135,0.00139414867613597,0.00319237218511719,
3410,0.00641864142967521,0.00641864142967521,0.0028235,0.00227329251980705,,0.00181772386175368,0.00413221805799941,0.00200714261447514,0.0045628222916723,0.00200714261447514,0.0045628222916723,0.00129028320631067,0.0029331911613387,
3380,0.00652357296858351,0.00652357296858351,0.0028906634664794,0.00225677358994982,,0.00184519523992989,0.00416418788577491,0.00200805205321782,0.00453171884094648,0.00200805205321782,0.00453171884094648,0.00118589514628699,0.00267629684659016,
3350,0.00667838506732787,0.00667838506732787,0.00298104984197513,0.00224027957308591,,0.00187308179481957,0.00419622688365338,0.00200907711154075,0.0045008944137392,0.00200907711154075,0.0045008944137392,0.0010814386801107,0.00242272498459699,
3320,0.00688895869966497,0.00688895869966497,0.00309781722040788,0.002223810576777,,0.0019013898010152,0.00422833075007353,0.00201023244101094,0.00447037616410038,0.00201023244101094,0.00447037616410038,0.00102119164367882,0.00227093677812925,
3290,0.00710294376741995,0.00710294376741995,0.00321783586581297,0.00220736670968313,,0.00193012562793762,0.00426049505661575,0.00201153453702326,0.00444019437240302,0.00201153453702326,0.00444019437240302,0.00104106949006338,0.0022980221348327,
3260,0.00729179900002835,0.00729179900002835,0.00332814778283938,0.0021909480815805,,0.00195929574126909,0.00429271524558237,0.00201300196735878,0.0044103827986025,0.00201300196735878,0.0044103827986025,0.00106339322218306,0.00232983934010769,
3230,0.00745028788416782,0.00745028788416782,0.0034261210030618,0.00217455480337961,,0.0019889067044082,0.00432498662754476,0.00201465562813138,0.00438097907330887,0.00201465562813138,0.00438097907330887,0.00115570224113828,0.00251313785974383,
3200,0.00751726631873566,0.00751726631873566,0.00348313948861498,0.00215818698714383,,0.00201896517994655,0.00435730437885715,0.00201651903014688,0.00435202513019088,0.00201651903014688,0.00435202513019088,0.00129308825875376,0.00279072625327084,
