,calBP,PrDens,lo,hi,logFit3
1,3500,0.0923906670117375,0.0190775693853627,0.0648856122888795,0.118025333560188
2,3499,0.0912978777932956,0.0185850471037344,0.0637111747060242,0.118030832387561
3,3498,0.0923906670117375,0.0190775693853627,0.0648856122888795,0.118036346345695
4,3497,0.0934533510412503,0.0195849919404025,0.0660483541486774,0.118041875475446
5,3496,0.0964991262396629,0.0211667251664926,0.0694837928362532,0.118047419817775
6,3495,0.0983888632605302,0.0222743291132542,0.0717256285880823,0.118052979413752
7,3494,0.100161978165307,0.0234295735537235,0.0739086299415187,0.118058554304551
8,3493,0.102594066190469,0.0252372872603828,0.0770727260959773,0.118064144531454
9,3492,0.104034860843857,0.0264976582327984,0.0791098464425431,0.118069750135848
10,3491,0.105341229715389,0.0277946588445854,0.0810899473737924,0.118075371159229
11,3490,0.106516705337202,0.0290845090518746,0.0830113863867479,0.118081007643201
12,3489,0.10756987428611,0.0303986073493818,0.0848789070767977,0.118086659629475
13,3488,0.108501787572023,0.0317621167709709,0.0867050080613379,0.11809232715987
14,3487,0.109321212996254,0.0331766774928197,0.0897337242671302,0.118098010276312
15,3486,0.110038140220494,0.0346476590101241,0.0927066337215234,0.118103709020838
16,3485,0.110372126130202,0.0353341830538664,0.0942191734073818,0.118109423435592
17,3484,0.110957322145741,0.036619752018892,0.0971997808749956,0.118115153562828
18,3483,0.111699818240529,0.0385543709351429,0.101920666605602,0.118120899444908
19,3482,0.112500604952994,0.0418916303301648,0.108657022394719,0.118126661124305
20,3481,0.113292224778266,0.0459695743900336,0.116089380484898,0.118132438643602
21,3480,0.114112765520934,0.049536613715012,0.124639880364356,0.118138232045489
22,3479,0.114772179336345,0.0522903316317843,0.129557643470211,0.11814404137277
23,3478,0.115283936566721,0.0544700242285797,0.133460769401708,0.118149866668358
24,3477,0.115407212943317,0.0550122101093636,0.134757901522157,0.118155707975277
25,3476,0.115283936566721,0.0544700242285797,0.133460769401708,0.118161565336662
26,3475,0.114900662830172,0.0528370167413965,0.13038048835609,0.11816743879576
27,3474,0.114243422556331,0.0501202124007358,0.125729047118502,0.118173328395927
28,3473,0.113717478174339,0.0478625009612776,0.120882915385711,0.118179234180635
29,3472,0.113292224778266,0.0459695743900336,0.116089380484898,0.118185156193465
30,3471,0.113292224778266,0.0459695743900336,0.116089380484898,0.118191094478112
31,3470,0.113435446306147,0.0466500039682788,0.117530752775248,0.118197049078383
32,3469,0.113717478174339,0.0478625009612776,0.120882915385711,0.118203020038197
33,3468,0.114243422556331,0.0501202124007358,0.125729047118502,0.118209007401588
34,3467,0.114772179336345,0.0522903316317843,0.129557643470211,0.118215011212703
35,3466,0.115154179633579,0.0539268029773001,0.132125832457101,0.118221031515801
36,3465,0.115407212943317,0.0550122101093636,0.134757901522157,0.118227068355258
37,3464,0.115646587784406,0.0560976702467083,0.137243306171993,0.118233121775561
38,3463,0.115761758203514,0.0566725711138317,0.138452157728323,0.118239191821314
39,3462,0.115646587784406,0.0560976702467083,0.137243306171993,0.118245278537235
40,3461,0.115646587784406,0.0560976702467083,0.137243306171993,0.118251381968156
41,3460,0.115646587784406,0.0560976702467083,0.137243306171993,0.118257502159025
42,3459,0.115761758203514,0.0566725711138317,0.138452157728323,0.118263639154907
43,3458,0.115980441292578,0.0576691466398996,0.140769720524406,0.118269793000981
44,3457,0.116280364929019,0.0596593122570716,0.143179608012902,0.118275963742542
45,3456,0.11651273981583,0.0619897739578482,0.144724008673007,0.118282151425003
46,3455,0.116593032940575,0.0639794556633118,0.146465950253784,0.118288356093892
47,3454,0.116436135510056,0.0657161164145962,0.148654286438819,0.118294577794856
48,3453,0.116076357862759,0.0671810928312358,0.15166671487286,0.118300816573656
49,3452,0.115527067449727,0.0687735478737934,0.157298824153253,0.118307072476173
50,3451,0.110781260132893,0.0665254701973069,0.129943927647197,0.118313345548405
51,3450,0.110960702200316,0.0670874863030053,0.131137559500457,0.118319635836468
52,3449,0.111153023038221,0.0676602607067681,0.132334921097994,0.118325943386596
53,3448,0.111335642400518,0.0682296633959993,0.133521154359818,0.118332268245142
54,3447,0.111510537327316,0.068798294294601,0.134693411471416,0.118338610458577
55,3446,0.111658200692635,0.0693537982300779,0.135832919991516,0.118344970073493
56,3445,0.111791669767213,0.0699032456934027,0.136947915377165,0.118351347136599
57,3444,0.111911032130812,0.0704455958853526,0.13804690676019,0.118357741694725
58,3443,0.112010489274738,0.0709749541513109,0.139144170388653,0.11836415379482
59,3442,0.11209737695292,0.0714848246085043,0.140295350631105,0.118370583483954
60,3441,0.112174947380083,0.0719868019521491,0.141513218197424,0.118377030809318
61,3440,0.112244480141356,0.072481842888727,0.142728669426477,0.118383495818222
62,3439,0.112305373105754,0.0729662197986849,0.143937818779845,0.118389978558098
63,3438,0.112360676307155,0.0734437123125729,0.145134257159781,0.1183964790765
64,3437,0.112411423677183,0.073914414624554,0.146317610600246,0.118402997421102
65,3436,0.112456740618858,0.0743907272413716,0.147484758178053,0.118409533639701
66,3435,0.112503179536507,0.0749131519830496,0.148250318544042,0.118416087780216
67,3434,0.112545431616647,0.0753703773519702,0.148769622227792,0.118422659890687
68,3433,0.112581844451925,0.0756417001511051,0.149248656376638,0.118429250019279
69,3432,0.112613157904211,0.0758871469467791,0.149682777673757,0.118435858214278
70,3431,0.112637866648346,0.0760943212616301,0.150070887477785,0.118442484524094
71,3430,0.112656650820041,0.0762556497465366,0.15037863391622,0.118449128997262
72,3429,0.112668969264395,0.0764662184493539,0.150859926440724,0.118455791682437
73,3428,0.112676909570451,0.0767468336627486,0.151285770716195,0.118462472628401
74,3427,0.112682985238815,0.0770299893104002,0.151690569664835,0.118469171884061
75,3426,0.112691151936509,0.077327038514853,0.152153695220293,0.118475889498446
76,3425,0.112701562587985,0.0776457280176934,0.152745048255934,0.118482625520712
77,3424,0.11271871290277,0.0780049532577175,0.153409467042194,0.11848938000014
78,3423,0.112740928164628,0.0784001304607782,0.154129788449369,0.118496152986134
79,3422,0.112766856735772,0.0788249761152365,0.154890247341314,0.118502944528227
80,3421,0.112791884611055,0.0792577413861646,0.155650046295574,0.118509754676077
81,3420,0.112813649361846,0.0796946138433281,0.156395469458329,0.118516583479468
82,3419,0.112831131410216,0.080124536939149,0.157113054403897,0.11852343098831
83,3418,0.112842320988121,0.0805135449525751,0.157773244903224,0.118530297252641
84,3417,0.112844994925057,0.0806444788739072,0.158374135466245,0.118537182322626
85,3416,0.112840420262964,0.0807741357621491,0.158935843327562,0.118544086248557
86,3415,0.112830845533629,0.08090437623218,0.159216768061613,0.118551009080855
87,3414,0.112815293647468,0.081061044403567,0.159376623888233,0.118557950870067
88,3413,0.112796574565429,0.0812362285675594,0.159510530463745,0.11856491166687
89,3412,0.112776573624535,0.0814360625969961,0.159646143090898,0.118571891522069
90,3411,0.112755321641486,0.0816534825166236,0.159773029333614,0.118578890486598
91,3410,0.112733241406352,0.0821078046593064,0.159888164853502,0.11858590861152
92,3409,0.112713194021516,0.0825461463087937,0.159984133902359,0.118592945948028
93,3408,0.112692234154625,0.0828541643156883,0.160042401792921,0.118600002547444
94,3407,0.112670221072963,0.0829400726365653,0.160032685367139,0.118607078461221
95,3406,0.11264870570663,0.0830170796058386,0.159957080281076,0.118614173740941
96,3405,0.112629917229298,0.0830509070476767,0.159818877719641,0.118621288438319
97,3404,0.112614807063476,0.0830599538844412,0.159610684916501,0.118628422605198
98,3403,0.11260807980238,0.0831030728514059,0.159351795534545,0.118635576293556
99,3402,0.112605713312857,0.0835748208890402,0.159045850354869,0.118642749555497
100,3401,0.112615509023177,0.084054662283797,0.158697257244535,0.118649942443263
101,3400,0.112637517624373,0.0845396265551497,0.158323497849192,0.118657155009224
102,3399,0.112668672980895,0.0850301026433793,0.157928650850518,0.118664387305883
103,3398,0.112712302825213,0.0855237113635791,0.157529597484286,0.118671639385877
104,3397,0.112768042266647,0.0859716470557453,0.157127400508626,0.118678911301976
105,3396,0.112835014903161,0.086374007577811,0.156727937044211,0.118686203107081
106,3395,0.112912569808478,0.0867755730816044,0.156342769498171,0.118693514854229
107,3394,0.112996971269765,0.0871684364843111,0.156065786094761,0.11870084659659
108,3393,0.113090892404353,0.0875523249384794,0.155798681735554,0.118708198387469
109,3392,0.113190947912474,0.0878697710404053,0.155537452283491,0.118715570280303
110,3391,0.113291490144897,0.0880916023966041,0.155282160988932,0.118722962328667
111,3390,0.113398500824097,0.0883183233267752,0.155029600257062,0.118730374586268
112,3389,0.11350759203336,0.088547471051432,0.154780130978475,0.118737807106951
113,3388,0.113625005193748,0.0887837722831823,0.154526875611735,0.118745259944696
114,3387,0.113752099460666,0.089026848169133,0.154272653932516,0.118752733153617
115,3386,0.113890649648652,0.0892769542278107,0.154015553188495,0.118760226787967
116,3385,0.114040533271633,0.0894852857861943,0.153756005468273,0.118767740902134
117,3384,0.114203097043578,0.0895700644757938,0.153554011833965,0.118775275550643
118,3383,0.114376387740346,0.0896625729276795,0.153373418159655,0.118782830788156
119,3382,0.114562276151829,0.0897608207778632,0.153197904050968,0.118790406669473
120,3381,0.114755956942482,0.0898644901744409,0.153027732932381,0.118798003249532
121,3380,0.114962592036242,0.0899776785173231,0.152862648145261,0.118805620583408
122,3379,0.115173438108774,0.0900962221953851,0.152703386671421,0.118813258726315
123,3378,0.115391053778544,0.0902208486200639,0.152556693730354,0.118820917733606
124,3377,0.115613687061086,0.0903518208811581,0.152418193369541,0.118828597660772
125,3376,0.115840439190735,0.0904891412763337,0.152288267470244,0.118836298563445
126,3375,0.116067494591156,0.0906337424779053,0.15217758102881,0.118844020497394
127,3374,0.116296236630238,0.0908234106809059,0.152076963724115,0.11885176351853
128,3373,0.116525255014389,0.0910714896313343,0.151982741616711,0.118859527682903
129,3372,0.11675536982344,0.0913209926418539,0.151900841893777,0.118867313046705
