OBJECTID,LabID,Age,Error,Material,Taxa,d13C,Method,Long,Lat,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,calib,NEAR_FID,NEAR_DIST
32131,Beta-370519,540,30,CHARCOAL,NA,-23.4,NA,-90.60275895,34.22922272,1,NA,22CO505/518,Carson/Montgomery Mounds,USA,Mississippi,North America,UWyo2021,McLeod 2015 Developing an Architectural Sequence for a portion of the Mound A enclosure…,intcal20,163104,448040.367262256
32132,Beta-370520,390,30,CHARCOAL,NA,-22.8,NA,-90.60275895,34.22922272,1,NA,22CO505/518,Carson/Montgomery Mounds,USA,Mississippi,North America,UWyo2021,McLeod 2015 Developing an Architectural Sequence for a portion of the Mound A enclosure…,intcal20,163104,448040.367262256
32133,Beta-370521,360,30,CHARCOAL,charred post,-24.2,NA,-90.60275895,34.22922272,1,NA,22CO505/518,Carson/Montgomery Mounds,USA,Mississippi,North America,UWyo2021,McLeod 2015 Developing an Architectural Sequence for a portion of the Mound A enclosure…,intcal20,163104,448040.367262256
32134,Beta-370522,290,30,CHARCOAL,NA,-26.9,NA,-90.60275895,34.22922272,1,NA,22CO505/518,Carson/Montgomery Mounds,USA,Mississippi,North America,UWyo2021,McLeod 2015 Developing an Architectural Sequence for a portion of the Mound A enclosure…,intcal20,163104,448040.367262256
32135,Beta-370523,480,30,CHARCOAL,NA,-21.4,NA,-90.60275895,34.22922272,1,NA,22CO505/518,Carson/Montgomery Mounds,USA,Mississippi,North America,UWyo2021,McLeod 2015 Developing an Architectural Sequence for a portion of the Mound A enclosure…,intcal20,163104,448040.367262256
32790,Beta-393278,1830,30,CHARCOAL,NA,-26.4,AMS,-87.31103771,34.52161037,1,NA,1LA111,NA,USA,Alabama,North America,UWyo2021,NA,intcal20,162716,440250.334763223
33035,Beta-4031,950,60,CHARCOAL,Charred Wood,NA,NA,-88.61925817,39.64149201,1,NA,11MT56,Stop Sign,USA,Illinois,North America,UWyo2021,Moffat 1991,intcal20,153948,929787.505570573
33043,Beta-4032,680,50,CHARCOAL,Charred Wood,NA,NA,-88.61925817,39.64149201,1,NA,11MT56,Stop Sign,USA,Illinois,North America,UWyo2021,Moffat 1991,intcal20,153948,929787.505570573
33224,Beta-410496,8720,30,CHARCOAL,NA,-27.7,AMS,-93.53851146,36.341219,1,NA,3CR2,Breckenridge Shelter,USA,Arkansas,North America,UWyo2021,Thulman 2019 The Age Of The Dalton Culture: A Bayesian Analysis Of The Radiocarbon Data,intcal20,165275,739007.494730628
33251,Beta-412027,4020,30,CHARCOAL,NA,NA,NA,-95.20850544,36.76190963,1,NA,NA,Goodson Shelter,USA,Oklahoma,North America,UWyo2021,Eren et al. 2018-Is Clovis Technology Unique to Clovisà,intcal20,165280,797861.916254116
33252,Beta-412028,4580,30,CHARCOAL,NA,NA,NA,-95.20850544,36.76190963,1,NA,NA,Goodson Shelter,USA,Oklahoma,North America,UWyo2021,Eren et al. 2018-Is Clovis Technology Unique to Clovisà,intcal20,165280,797861.916254116
33253,Beta-412029,4540,30,CHARCOAL,NA,NA,NA,-95.20850544,36.76190963,1,NA,NA,Goodson Shelter,USA,Oklahoma,North America,UWyo2021,Eren et al. 2018-Is Clovis Technology Unique to Clovisà,intcal20,165280,797861.916254116
33329,Beta-41701,500,70,CHARCOAL,NA,-26.3,AMS,-90.84817456,34.4284401,1,NA,3PH19,Ellis Mound,USA,Arkansas,North America,UWyo2021,Childress Mitchell 1995,intcal20,163104,473450.462729098
33330,Beta-41702,390,50,CHARCOAL,NA,-27.1,AMS,-90.84817456,34.4284401,1,NA,3PH19,Ellis Mound,USA,Arkansas,North America,UWyo2021,Childress Mitchell 1995,intcal20,163104,473450.462729098
33332,Beta-41704,540,60,CHARCOAL,charred cane and wood,-26.4,AMS,-90.84817456,34.4284401,1,NA,3PH19,Ellis Mound,USA,Arkansas,North America,UWyo2021,Childress Mitchell 1995,intcal20,163104,473450.462729098
33464,Beta-420705,8790,30,CHARCOAL,NA,-24.8,AMS,-93.53851146,36.341219,1,NA,3CR2,Breckenridge Shelter,USA,Arkansas,North America,UWyo2021,Thulman 2019 The Age Of The Dalton Culture: A Bayesian Analysis Of The Radiocarbon Data,intcal20,165275,739007.494730628
33465,Beta-420706,8810,30,CHARCOAL,NA,-26.3,AMS,-93.53851146,36.341219,1,NA,3CR2,Breckenridge Shelter,USA,Arkansas,North America,UWyo2021,Thulman 2019 The Age Of The Dalton Culture: A Bayesian Analysis Of The Radiocarbon Data,intcal20,165275,739007.494730628
