OBJECTID,LabID,Age,Error,Material,Taxa,d13C,Method,Long,Lat,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,calib,NEAR_FID,NEAR_DIST
38591,Beta-79714,950,60,CHARCOAL,wood/nutshell,NA,AMS,-92.20770171,37.82475193,1,NA,23PU235,Sadie's Cave,USA,Missouri,North America,UWyo2021,Reeder 2000. Ahler et al. 1995b,intcal20,163104,885711.886703113
38592,Beta-79715,1460,50,CHARCOAL,wood/nutshell,NA,AMS,-92.20770171,37.82475193,1,NA,23PU235,Sadie's Cave,USA,Missouri,North America,UWyo2021,Reeder 2000 Ahler et al. 1995b,intcal20,163104,885711.886703113
38593,Beta-79716,4970,90,CHARCOAL,wood/nutshell,NA,RADIOMETRIC,-92.20770171,37.82475193,1,NA,23PU235,Sadie's Cave,USA,Missouri,North America,UWyo2021,Ahler et al 1995 Excavation and resource evaluation of sites 23PU2 ... Public Service Archaeology Program Research Report No. 19.,intcal20,163104,885711.886703113
38594,Beta-79717,7450,180,CHARCOAL,wood/nutshell,NA,RADIOMETRIC,-92.20770171,37.82475193,1,NA,23PU235,Sadie's Cave,USA,Missouri,North America,UWyo2021,Ahler et al 1995 Excavation and resource evaluation of sites 23PU2 ... Public Service Archaeology Program Research Report No. 19.,intcal20,163104,885711.886703113
38595,Beta-79718,5080,200,CHARCOAL,wood/nutshell,NA,RADIOMETRIC,-92.20770171,37.82475193,1,NA,23PU235,Sadie's Cave,USA,Missouri,North America,UWyo2021,Ahler et al 1995 Excavation and resource evaluation of sites 23PU2 ... Public Service Archaeology Program Research Report No. 19.,intcal20,163104,885711.886703113
38596,Beta-79719,1430,50,CHARCOAL,oak bark,NA,AMS,-92.20770171,37.82475193,1,NA,23PU235,Sadie's Cave,USA,Missouri,North America,UWyo2021,Reeder 2000. Ahler et al. 1995b; Hoard and Anglen 2000,intcal20,163104,885711.886703113
38597,Beta-79720,3800,90,CHARCOAL,wood/nutshell,NA,RADIOMETRICPLUS,-92.20770171,37.82475193,1,NA,23PU235,Sadie's Cave,USA,Missouri,North America,UWyo2021,Ahler et al 1995 Excavation and resource evaluation of sites 23PU2 ... Public Service Archaeology Program Research Report No. 19.,intcal20,163104,885711.886703113
38598,Beta-79721,950,70,CHARCOAL,wood/nutshell,NA,AMS,-92.20770171,37.82475193,1,NA,23PU235,Sadie's Cave,USA,Missouri,North America,UWyo2021,Reeder 2000. Ahler et al. 1995b,intcal20,163104,885711.886703113
38599,Beta-79722,5460,200,CHARCOAL,wood/nutshell,NA,RADIOMETRIC,-92.20770171,37.82475193,1,NA,23PU235,Sadie's Cave,USA,Missouri,North America,UWyo2021,Ahler et al 1995 Excavation and resource evaluation of sites 23PU2 ... Public Service Archaeology Program Research Report No. 19.,intcal20,163104,885711.886703113
38600,Beta-79723,4390,120,CHARCOAL,wood/nutshell,NA,RADIOMETRIC,-92.20770171,37.82475193,1,NA,23PU235,Sadie's Cave,USA,Missouri,North America,UWyo2021,Ahler et al 1995 Excavation and resource evaluation of sites 23PU2 ... Public Service Archaeology Program Research Report No. 19.,intcal20,163104,885711.886703113
