Site,County,State,Inclusion2,Inclusion,BP,PeriodID,PeriodID2,TimeID,Nuts,EAC,IP,IP Source,CultIndex,MesoIndex,MesoIndex2
Hawkins Hollow,Monroe,IL,1,1,662,749-300,5,500,531,11,162,"162 Simon 2015:186-187, 204-205",0.245738636,0.230113636,0.51
Hill Creek,Pike,IL,1,1,662,749-300,5,500,14411,1571,6124,"6124 Asch and Asch 1985a:140, 166-167",0.34809554,0.277028861,0.51
Julien,St Clair,IL,1,1,662,749-300,5,500,5289,338,609,609 Johannessen 1984f:270-1,0.151860167,0.097658756,0.51
Russell Koster,Whiteside,IL,1,1,655,749-300,5,500,85,0,188,188 Pearce 2006:115,0.688644689,0.688644689,0.51
Morton,Fulton,IL,1,1,650,749-300,5,500,909,21,472,472 Nordine 2020:80-81,0.351640514,0.336661912,0.51
Morton,Fulton,IL,1,1,650,749-300,5,500,548,40,1283,1283 Nordine 2020:80-81,0.707108498,0.685729556,0.51
Dogtooth Bend,Alexander,IL,1,1,600,749-300,5,500,114,10,9,9 Newsom 1996:148-150,0.142857143,0.067669173,0.51
Hoxie Farm,Cook,IL,1,1,575,749-300,5,500,816,39,1677,1677 Blewitt & King 2017:500-505,0.677725118,0.662322275,0.51
Hoxie Farm,Cook,IL,1,1,500,749-300,5,500,272,15,430,430 Blewitt & King 2017:500-505,0.620641562,0.59972106,0.51
Range,St Clair,IL,1,1,425,749-300,5,300,483,302,602,602 Parker 2003b:410-411,0.651766402,0.434030281,0.51
Oak Forest,Cook,IL,1,1,387,749-300,5,300,246,346,634,"634 Asch and Asch Sidell 1990:251, 253, 255",0.799347471,0.517128874,0.51
Grand Village,LaSalle,IL,1,1,335,749-300,5,300,2,0,729,729 Walz 1999:223-225,0.997264022,0.997264022,0.51
Miles,Clark,IN,0,1,3610,5000-3450,0,3500,111,0,0,0 Bush 2002:266-267,0,0,
Jennison Guard,Dearborn,IN,0,1,1785,1899-1250,2,1500,112,22,0,0 Blosser 1996:64,0.164179104,0,
Morell-Sheets,Montgomery,IN,0,1,1100,1249-900,3,1000,131,1359,350,350 Bush 1994:8,0.928804348,0.190217391,
Castor Farm,Hamilton,IN,0,1,879,899-750,4,500,66,178,607,607 Bush 2004a:265,0.922444183,0.713278496,
Prairie View,Hamilton,IN,0,1,797,899-750,4,500,298,0,288,288 Bush 2004b:68-73,0.491467577,0.491467577,
Heaton Farm,Greene,IN,0,1,763,899-750,4,500,3166,124,877,877 Bush 2004b:68-73,0.240220782,0.210463163,
12H993,Hamilton,IN,0,1,750,899-750,4,500,38,2,100,100 Bush 2010:333-334,0.728571429,0.714285714,
Taylor Ten,Hamilton,IN,0,1,750,899-750,4,500,45,1,53,53 Bush 2010:333-334,0.545454545,0.535353535,
Kramer Enclosure,Allen,IN,0,1,728,749-300,5,500,96,97,610,610 Bush 2010:333-334,0.880448319,0.759651308,
Strawtown,Hamilton,IN,0,1,699,749-300,5,500,288,18,2380,2380 Bush 2005a:222,0.892777364,0.886075949,
Baker's Trails,Hamilton,IN,0,1,681,749-300,5,500,287,10,1826,1826 Bush 2004b:68-73,0.864813943,0.860103627,
Sugar Creek,Johnson,IN,0,1,681,749-300,5,500,248,0,79,79 Bush 2004b:68-73,0.241590214,0.241590214,
Pottersville,Owen,IN,0,1,676,749-300,5,500,932,1,34,34 Bush 2004b:68-73,0.036194416,0.03516029,
12MG195,Morgan,IN,0,1,675,749-300,5,500,44,1,5,5 Bush 2004b:68-73,0.12,0.1,
12MO624,Monroe,IN,0,1,675,749-300,5,500,12,0,4,4 Bush 2004b:68-73,0.25,0.25,
Abner,Hamilton,IN,0,1,675,749-300,5,500,43,0,7,7 Bush 2004b:68-73,0.14,0.14,
Blair,Hamilton,IN,0,1,675,749-300,5,500,29,0,17,17 Bush 2004b:68-73,0.369565217,0.369565217,
Cox's Woods,Orange,IN,0,1,638,749-300,5,500,288,127,388,388 Bush 2004b:68-73,0.641344956,0.483188045,
