Site,County,State,Inclusion2,Inclusion,BP,PeriodID,PeriodID2,TimeID,Nuts,EAC,IP,IP Source,CultIndex,MesoIndex,MesoIndex2
Skinned Rabbit,Madison,IL,1,1,1775,1899-1250,2,1500,104,791,0,0 Lopinot 1989:107,0.883798883,0,0
Truck 7,Monroe,IL,1,1,1775,1899-1250,2,1500,951,318,0,0 Johannessen 1985e:294-297,0.250591017,0,0
Alpha 1,St Clair,IL,1,1,1625,1899-1250,2,1500,284,8392,0,0 Johannessen and Whalley 1988:273,0.967266021,0,0
Carbon Dioxide,Monroe,IL,1,1,1625,1899-1250,2,1500,4717,11,0,0 Johannessen 1985c:99,0.002326565,0,0
Cunningham,Madison,IL,1,1,1625,1899-1250,2,1500,2488,32752,0,"0 Parker 2001a:170, 172",0.929398411,0,0
Dohack,St Clair,IL,1,1,1625,1899-1250,2,1500,227,37,0,0 Johannessen 1985d:251,0.140151515,0,0
George Reeves,St Clair,IL,1,1,1625,1899-1250,2,1500,618,1239,0,0 Johannessen 1987d:351-352,0.66720517,0,0
Leingang,Monroe,IL,1,1,1625,1899-1250,2,1500,2545,26,0,0 Johannessen and Whalley 1988:269,0.010112797,0,0
Shaw,Ogle,IL,1,1,1625,1899-1250,2,1500,1845,111,0,0 Parker 2010:649,0.056748466,0,0
Steinberg,St Clair,IL,1,1,1625,1899-1250,2,1500,725,2269,0,0 Johannessen and Whalley 1988:271,0.757849031,0,0
Formal Garden,Rock Island,IL,1,1,1559,1899-1250,2,1500,16693,3297,0,0 Wolforth et al. 2000:82,0.164932466,0,0
Wet Willie,Adams,IL,1,1,1530,1899-1250,2,1500,1491,897,0,0 Asch DL and Asch NB 1986:107-109,0.375628141,0,0
Buffalo,Adams,IL,1,1,1500,1899-1250,2,1500,253,18,2,2 Asch DL and Asch NB 1986:107-109,0.073260073,0.007326007,0
Rench,Peoria,IL,1,1,1500,1899-1250,2,1500,21670,165,0,"0 King 1993b:326, 328",0.007556675,0,0
Columbia Quarry,St Clair,IL,1,1,1475,1899-1250,2,1000,594,147,0,0 Johannessen and Whalley 1988:277,0.198380567,0,0
George Reeves,St Clair,IL,1,1,1475,1899-1250,2,1000,139,116,0,0 Johannessen 1987d:351-352,0.454901961,0,0
Mund,St Clair,IL,1,1,1475,1899-1250,2,1000,4376,6225,3,3 Johannessen 1983d:304-5,0.587325538,0.000282912,0
Axedental,Pike,IL,1,1,1425,1899-1250,2,1000,2150,959,0,"0 Schroeder 1994:115, 117, 190-3",0.308459312,0,0
Carlin,Calhoun,IL,1,1,1425,1899-1250,2,1000,639,2586,0,0 Asch NB and Asch DL 1981:280-283,0.801860465,0,0
Elledge,Pike,IL,1,1,1425,1899-1250,2,1000,601,44,10,"10 Schroeder 1994:115, 120, 194-7",0.082442748,0.015267176,0
Newbridge,Greene,IL,1,1,1425,1899-1250,2,1000,5923,13608,0,0 Asch NB and Asch DL 1981:280-283,0.696738518,0,0
Weitzer,Greene,IL,1,1,1425,1899-1250,2,1000,3047,19,0,0 Asch NB and Asch DL 1981:280-283,0.006196999,0,0
Fall Creek,Adams,IL,1,1,1410,1899-1250,2,1000,23,30,0,0 Asch DL and Asch NB 1986:107-109,0.566037736,0,0
John Faust 1,St Clair,IL,1,1,1325,1899-1250,2,1000,84451,4405,19,19 Parker and Scott 2003-4:78-79,0.049777778,0.000213783,0
John Faust 2,St Clair,IL,1,1,1325,1899-1250,2,1000,128600,7021,214,214 Parker and Scott 2003-4:69-70,0.05326315,0.001575441,0
Carrier Mills,Saline,IL,1,1,1300,1899-1250,2,1000,44322,156,0,"0 Lopinot 1982b:719, 789",0.003507352,0,0
Myer-Dickson,Fulton,IL,1,1,1300,1899-1250,2,1000,1283,54,0,0 Biwer and VanDerwarker 2015:92-93,0.04038893,0,0
Woodland Ridge,Monroe,IL,1,1,1300,1899-1250,2,1000,12965,35363,1,"1 Parker 2002:150-151, 157",0.731734569,2.07E-05,0
Deer Track,Adams,IL,1,1,1275,1899-1250,2,1000,3040,116,131,"131 Asch and Asch 1985b:68-69, 88",0.075144509,0.03985397,0
Alpha 3,St Clair,IL,1,1,1250,1899-1250,2,1000,380,9,0,0 Johannessen and Whaley 1988: 281,0.023136247,0,0
Columbia Farms,Monroe,IL,1,1,1250,1899-1250,2,1000,2235,57,0,0 Johannessen and Whalley 1988:283,0.02486911,0,0
Cramer 2,St Clair,IL,1,1,1250,1899-1250,2,1000,2850,1,0,0 Johannessen and Whalley 1988:283,0.000350754,0,0
Dohack,St Clair,IL,1,1,1250,1899-1250,2,1000,5396,852,0,0 Johannessen 1985d:254,0.136363636,0,0
Dugan Airfield,Monroe,IL,1,1,1250,1899-1250,2,1000,8754,8011,134,134 Parker 2006a:432-433,0.481981182,0.007929463,0
Fish Lake,Monroe,IL,1,1,1250,1899-1250,2,1000,704,566,0,0 Johannessen 1984b:191,0.445669291,0,0
Holdener,St Clair,IL,1,1,1250,1899-1250,2,1000,5087,319,0,0 Simon 1994:89,0.059008509,0,0
Julien,St Clair,IL,1,1,1250,1899-1250,2,1000,401,66,0,0 Johannessen 1984f:246,0.141327623,0,0
Range,St Clair,IL,1,1,1250,1899-1250,2,1000,1277,1746,2,"2 Johannessen 1987b:409, 411, 413",0.57785124,0.000661157,0
Rhonda,Monroe,IL,1,1,1250,1899-1250,2,1000,839,432,0,0 Parker 2006a:453,0.339889851,0,0
Sprague,Monroe,IL,1,1,1250,1899-1250,2,1000,9190,76384,1,1 Parker 2006a:450-451,0.892608823,1.17E-05,0
Westpark,Monroe,IL,1,1,1250,1899-1250,2,1000,478,25651,0,0 Powell 2000:35,0.98170615,0,0
Wilderman,St Clair,IL,1,1,1250,1899-1250,2,1000,1331,19,0,0 Simon 1989:32,0.014074074,0,0
AE Harmon,Madison,IL,1,1,1225,1249-900,3,1000,759,825,5,"5 Holt et al. 2010: 70, 72",0.522341095,0.003146633,0.22
John Faust 1,St Clair,IL,1,1,1225,1249-900,3,1000,4153,336,1139,1139 Parker and Scott 2003-4:78-79,0.262082445,0.202380952,0.22
John Faust 2,St Clair,IL,1,1,1225,1249-900,3,1000,6039,668,99,99 Parker and Scott 2003-4:69-70,0.112694681,0.014545989,0.22
Sponemann,Madison,IL,1,1,1225,1249-900,3,1000,14306,73941,696,696 Parker 1991:403,0.839155414,0.007825236,0.22
Kliver,Scott,IL,1,1,1175,1249-900,3,1000,1964,23,0,"0 Schroeder 1994:115, 189",0.011575239,0,0.22
Campbell Hollow,Scott,IL,1,1,1150,1249-900,3,1000,619,148,0,"0 Schroeder 1994:115, 117, 182-3",0.192959583,0,0.22
Smiling Dan,Scott,IL,1,1,1150,1249-900,3,1000,134,360,1,"1 Schroeder 1994:115, 117, 184-8",0.729292929,0.002020202,0.22
11WO264,Winnebago,IL,1,1,1100,1249-900,3,1000,55,3,126,126 Simon 1999a:177,0.701086957,0.684782609,0.22
Charles Keeshin 3,Winnebago,IL,1,1,1100,1249-900,3,1000,29,55,1058,1058 Simon 1999a:168,0.974605954,0.926444834,0.22
Kaesberg-Schaudt,Randolph,IL,1,1,1100,1249-900,3,1000,10778,14156,2779,"2779 Parker 2008:133, 134, 136",0.61108505,0.100277848,0.22
M Adams 1,Winnebago,IL,1,1,1100,1249-900,3,1000,103,3,29,29 Simon 1999a:179,0.237037037,0.214814815,0.22
Tilly,Winnebago,IL,1,1,1100,1249-900,3,1000,77,47,28,28 Simon 1999a:185,0.493421053,0.184210526,0.22
Dohack,St Clair,IL,1,1,1084,1249-900,3,1000,4255,35822,194,194 Johannessen 1985d:260-3,0.894340841,0.004817362,0.22
George Reeves,St Clair,IL,1,1,1084,1249-900,3,1000,19,27,1,1 Johannessen 1987d:351-352,0.595744681,0.021276596,0.22
Joan Carrie,Monroe,IL,1,1,1084,1249-900,3,1000,186,3430,1724,1724 Esarey & Johannessen 1994:81-2,0.965168539,0.322846442,0.22
Range,St Clair,IL,1,1,1084,1249-900,3,1000,976,447,714,714 Whalley 1990a:276-7,0.543284979,0.334113243,0.22
Range,St Clair,IL,1,1,1053,1249-900,3,1000,386,1832,1638,1638 Whalley 1990b:520,0.899896266,0.424792531,0.22
Robert Schneider,Madison,IL,1,1,1053,1249-900,3,1000,5,2879,368,368 Johannessen 1985a:286,0.998462485,0.113161132,0.22
Kane Village,Madison,IL,1,1,1050,1249-900,3,1000,751,1861,957,957 Simon 2016:79,0.789576912,0.268142337,0.22
Petitt,Alexander,IL,1,1,1050,1249-900,3,1000,2453,10922,486,"486 Lopinot 1992:264, 281",0.823028642,0.035062405,0.22
Swimming Snake,Alexander,IL,1,1,1050,1249-900,3,1000,6333,73,47,47 Schroeder 1992:36-37,0.018596002,0.007283434,0.22
Bridges,Marion,IL,1,1,1037,1249-900,3,1000,26611,491,119,119 Lopinot 1983:254,0.022409169,0.004371625,0.22
"Cahokia, west",St Clair & Madison,IL,1,1,1037,1249-900,3,1000,4,70,16,"16 Lopinot et al. 1993:416, 418",0.955555556,0.177777778,0.22
Bivouac,Madison,IL,1,1,1022,1249-900,3,1000,28,112,33,33 Galloy et al. 2000:236,0.838150289,0.190751445,0.22
George Reeves,St Clair,IL,1,1,1022,1249-900,3,1000,68,654,426,426 Johannessen 1987d:351-352,0.940766551,0.371080139,0.22
Goshen,Madison,IL,1,1,1022,1249-900,3,1000,3,136,60,60 Lopinot 1989:109-110,0.984924623,0.301507538,0.22
Radic,Madison,IL,1,1,1022,1249-900,3,1000,17,979,748,748 Parker 1987:224-6,0.990252294,0.428899083,0.22
Range,St Clair,IL,1,1,1022,1249-900,3,1000,427,393,410,410 Parker 2007a:217,0.652845528,0.333333333,0.22
Robinsons Lake,Madison,IL,1,1,1022,1249-900,3,1000,10,557,697,697 Johannessen 1984d:126-127,0.992088608,0.551424051,0.22
BBB Motor,Madison,IL,1,1,991,1249-900,3,500,198,887,838,838 Johannessen 1984e:172,0.897035881,0.435777431,0.22
George Reeves,St Clair,IL,1,1,991,1249-900,3,500,51,409,83,83 Johannessen 1987d:351-352,0.906077348,0.152854512,0.22
Marcus,St Clair,IL,1,1,991,1249-900,3,500,0,3,35,35 Johannessen 1987c:352,1,0.921052632,0.22
Marge,Monroe,IL,1,1,991,1249-900,3,500,807,10982,1966,1966 Simon 1996a:282,0.941330425,0.142929844,0.22
Range,St Clair,IL,1,1,991,1249-900,3,500,251,3460,9657,9657 Parker 2007b:459-461,0.981223818,0.722396768,0.22
Rench,Peoria,IL,1,1,941,1249-900,3,500,4633,185,457,457 King 1993a:122-123,0.121706161,0.086635071,0.22
"Cahokia, ICT-II",St Clair,IL,1,1,925,1249-900,3,500,97,745,455,"455 Lopinot 1991:70, 73",0.925212028,0.350809561,0.22
"Cahokia, west",St Clair & Madison,IL,1,1,925,1249-900,3,500,5,46,17,"17 Lopinot et al. 1993:416, 418",0.926470588,0.25,0.22
Carbon Dioxide,Monroe,IL,1,1,925,1249-900,3,500,533,243,293,293 Johannessen 1985c:103,0.501403181,0.274087933,0.22
East St Louis,St Clair,IL,1,1,925,1249-900,3,500,311,428,598,598 Kelly et al. 2005a:94-95,0.767389678,0.447270007,0.22
George Reeves,St Clair,IL,1,1,925,1249-900,3,500,332,62,44,44 Johannessen 1987d:351-352,0.242009132,0.100456621,0.22
Greenhouse,Monroe,IL,1,1,925,1249-900,3,500,57,117,74,74 Simon 1992:31-32,0.77016129,0.298387097,0.22
Knoebel,St Clair,IL,1,1,925,1249-900,3,500,59,4,100,100 Kruchten 2012:118,0.63803681,0.613496933,0.22
Olszewski,St Clair,IL,1,1,925,1249-900,3,500,131,929,2039,2039 Dunavan 1990b:392-4,0.957728299,0.657954179,0.22
Range,St Clair,IL,1,1,925,1249-900,3,500,1546,3461,1437,1437 Parker 2003a:194-195,0.760086903,0.222998138,0.22
Truck 4,Monroe,IL,1,1,925,1249-900,3,500,44,1,1,1 Johannessen 1985e:305,0.043478261,0.02173913,0.22
Turner,St Clair,IL,1,1,925,1249-900,3,500,44,466,434,"434 Whalley 1983:216-217, 225-227",0.953389831,0.459745763,0.22
Baker-Preston,Fulton,IL,1,1,900,1249-900,3,500,28,324,188,188 Kuehn and Blewitt 2013:57-62,0.948148148,0.348148148,0.22
Tree Row,Fulton,IL,1,1,900,1249-900,3,500,10,2,9,9 Kuehn and Blewitt 2013:56,0.523809524,0.428571429,0.22
Ernat,LaSalle,IL,1,1,897,899-750,4,500,0,25,82,82 Adams 2016:485,1,0.76635514,0.48
