Site,Feature,MedCal,SurfaceArea,LnSurfaceArea,RockNumber,RockWeight
41HY209-M,Midden,1012,126,4.83628190695148,126,NA
41MS32,Feature 16,1013,1.32,0.27763173659828,120,NA
41MS32,Feature 16B,1013,0.595,-0.519193873436507,30,NA
41BR87,Burned Rock Midden,1008,176.625,5.17402884100469,10973,178.4
41WM1010,"Feature D38, Blk D3",1013,2.875,1.05605267424931,63,24
41WM1126,Feature 13,1013,0.7905,-0.23508962233261,111,22.7
41WM1010,B10,1026,0.96,-0.040821994520255,60,12.35
41RN3,Feature 1,1049,50.24,3.91681152215994,NA,NA
41KR229,Feature 1,1057,120,4.78749174278205,NA,NA
41RN163,Feature 2,1062,78.85,4.36754731340905,NA,NA
41BR392,Burned Rock Midden,1051,180,5.19295685089021,15000,2.78
41WM1010,"Feature B1, TU1",1068,1.04,0.039220713153281,46,10.3
41GU177,Feature 3: cluster 1,1088,0.091,-2.39689577246529,NA,NA
41KR621,Feature 10,1087,0.36,-1.02165124753198,34,14.7
41CV286,Feature 5,1101,1.65,0.500775287912489,1250,145
41WM1126,Feature 16,1102,1.905,0.644482008578664,416,268.6
41BR441,Burned Rock Midden,1109,450,6.10924758276437,1120,30.5
41KM69,Feature 1,1109,121,4.79579054559674,NA,NA
41WM1010,"Feature D32, Blk D3",1109,0.121,-2.1119647333854,6,5
41WM1010,"Feature D56, Blk D2",1109,0.5005,-0.692147680226862,106,48.3
41CC112,Feature 1A,1113,73.86065,4.30218020981895,NA,NA
41BX1032,Feature 3,1124,0.85,-0.162518929497775,56,39.5
41CC167,Feature 7,1131,103.5,4.63957161270542,NA,NA
41BR420,Burned Rock Midden,1136,90,4.49980967033027,8528,101.5
41BL821,Feature 1,1140,2250,7.71868549519847,NA,NA
41CV1378,Feature 3,1136,2.4288,0.887397308219174,NA,405
41KM16,Feature 21,1135,0.785,-0.242071561199729,NA,NA
41BL1214,Feature 7,1165,0.552,-0.594207232705042,6,NA
41WM1010,"Feature D2, TU1",1165,0.96,-0.040821994520255,NA,NA
41WM1010,"Feature D37, Blk D3",1191,0.045,-3.10109278921182,23,18
41CV1200,Feature 2,1190,1.95,0.667829372575656,NA,NA
41WM1010,"D30, Blk D2",1208,0.4071,-0.898696423473204,16,NA
41WM1010,Feature A1,1208,1.56,0.444685821261446,127,30.6
41WM1010,"Feature D34, Blk D3",1208,0.56,-0.579818495252942,43,3.5
41BL339,Feature 4a,1174,0.56,-0.579818495252942,NA,NA
41WM1010,"Feature D31, Blk D3",1214,0.7,-0.356674943938732,52,14
41WM1010,Feature B9,1219,0.385,-0.954511944694353,82,7.1
41WM1010,"Feature D11, TU1",1226,1.1,0.095310179804325,25,NA
41WM1010,"Feature D12, TU1",1226,0.045,-3.10109278921182,16,NA
41WM1010,"Feature D13, TU1",1226,0.1225,-2.09964424899736,3,NA
41WM1010,"Feature D36, Blk D3",1232,0.25,-1.38629436111989,14,1.8
41WM1010,"Feature D14, Blk D1",1251,0.18,-1.71479842809193,NA,NA
41CV1378,Feature 1,1285,113.5,4.73180283692146,NA,10331
41BR492,Feature 1,1279,132.665,4.88782715372335,29269,385.45
41WM1010,"D35, Blk D3",1285,0.325,-1.1239300966524,23,3.9
41TV461,BRC1 ,1287,0.205,-1.58474529984373,19,NA
41WM1010,"Feature D39, Blk D3",1292,0.72,-0.328504066972036,72,9
41CV095,Feature 3,1320,0.15,-1.89711998488588,NA,NA
41CC112,Feature 1B,1356,136.7784,4.91836209798492,NA,NA
41BL339,Feature 1,1351,0.264074,-1.33152591208307,NA,NA
41TV163,Feature 1,1383,1.76625,0.5688586550166,NA,NA
41WM1010,Feature B22,1392,0.2304,-1.4679383501604,31,4
41BL755,Feature 1,1466,480,6.17378610390194,NA,NA
41HY165,Feature 3a/96-6/97,1465,1.0925,0.088468647987608,NA,NA
41MS99,Feature 5,1467,0.399,-0.918793862092273,54,14.95
41CV286,Feature 7,1475,1.43,0.357674444271816,NA,NA
41CV0174,Feature 1,1531,5500,8.61250337122056,NA,NA
41WM1010,"Feature B2, TU1",1539,0.81,-0.210721031315653,106,13.3
41TV742,Feature 14,1577,0.28,-1.27296567581289,NA,11.4
41BL154,Feature 1,1571,7500,8.9226582995244,NA,NA
41KR621,Feature 9,1582,0.35,-1.04982212449868,46,18
41CV0960,Feature 4,1602,350,5.85793315448346,NA,NA
41WM1010,"Feature D1, BH Trench",1610,0.12,-2.12026353620009,6,NA
41WM1010,B23,1619,0.49,-0.713349887877465,68,19.6
41BX184,S200-239,1629,1.8,0.587786664902119,NA,NA
41WM1126,Feature 15,1629,0.5478,-0.601845022153159,49,18.2
41BL1214,Feature 5,1634,0.8624,-0.148036078827404,NA,NA
41WM1010,Feature A9,1638,0.2565,-1.36062661437131,40,5
41BL233,Feature 5,1654,52.5,3.96081316959758,NA,NA
41WM1126,Feature 17,1649,1.365,0.311154428636923,355,44.5
41ED28,Feature 1,1658,28.26,3.34144737725638,3196,468.15
41CV1195,Feature 1,1709,78.5,4.36309862478836,NA,NA
41BL1214,Feature 6,1721,0.1256,-2.07465302494804,NA,NA
41BL743,Feature 1,1723,106.4,4.66720557690754,NA,NA
41KM226,Feature 7,1747,0.88,-0.127833371509885,54,20.8
41CV0595,Feature 2,1773,330,5.79909265446053,NA,NA
41CV0174,Feature 3,1788,2.04,0.712949807856125,NA,NA
41WM1126,Feature 18,1806,1.12,0.113328685307003,131,25.9
41WM1126,Feature 20,1806,0.1512,-1.8891518152367,18,14
41HY202-B,Feature 17,1822,1.44,0.364643113587909,160,50.5
41CV0174,Feature 5,1825,4,1.38629436111989,NA,NA
41HY202-B,Feature 23,1841,0.765,-0.267879445155601,NA,NA
41WM1126,Feature 30,1856,2.43,0.887891257352457,364,77.8
41BX184,S232,1861,5,1.6094379124341,260,NA
41WM1010,"Feature B2, BH Trench",1862,0.81,-0.210721031315653,106,13.3
41WM1010,Feature B2,1887,0.81,-0.210721031315653,106,13.3
